Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Croatia,Croatia,Program dodjele državnih potpora za podršku razvoju malih i srednjih poduzetnika u turizmu,State aid scheme for the development of SMEs in the tourism industry,SA.43316,TM-10002856,51079505931,Hotel Borovnik d.o.o.,Hotel Borovnik d.o.o.,Small and medium-sized entreprises,Jadranska Hrvatska,Hotels and similar accommodation,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,8363808,HRK,15/07/2016,Ministarstvo poduzetništva i obrta,Ministry of Entrepreneurship and Crafts,06/02/2017
Croatia,Croatia,Program dodjele državnih potpora za podršku razvoju malih i srednjih poduzetnika u turizmu,State aid scheme for the development of SMEs in the tourism industry,SA.43316,TM-10002858,67025642845,Andro Internacional d.o.o.,Andro Internacional d.o.o.,Small and medium-sized entreprises,Jadranska Hrvatska,Hotels and similar accommodation,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,9960000,HRK,29/07/2016,Ministarstvo poduzetništva i obrta,Ministry of Entrepreneurship and Crafts,06/02/2017
Croatia,Croatia,Program dodjele državnih potpora za razvoj malog i srednjeg poduzetništva (izmjene),State aid scheme for the development of SMEs (amendments),SA.45643,TM-10002850,98931889409,Adoro d.o.o.,Adoro d.o.o.,Small and medium-sized entreprises,Kontinentalna Hrvatska,Manufacture of structural metal products,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,4916696.8,HRK,30/09/2016,Ministarstvo poduzetništva i obrta,Ministry of Entrepreneurship and Crafts,06/02/2017
Croatia,Croatia,Program dodjele državnih potpora za razvoj malog i srednjeg poduzetništva (izmjene),State aid scheme for the development of SMEs (amendments),SA.45643,TM-10002851,37955572990,Rotoplast d.o.o,Rotoplast d.o.o.,Small and medium-sized entreprises,Kontinentalna Hrvatska,Printing and service activities related to printing,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,3974384.87,HRK,30/09/2016,Ministarstvo poduzetništva i obrta,Ministry of Entrepreneurship and Crafts,06/02/2017
Croatia,Croatia,Program dodjele državnih potpora za podršku razvoju malih i srednjih poduzetnika u turizmu,State aid scheme for the development of SMEs in the tourism industry,SA.43316,TM-10002857,KK.03.2.1.04.0015,Belveder Ugostiteljski obrt,Belveder Ugostiteljski crafts,Small and medium-sized entreprises,Kontinentalna Hrvatska,Hotels and similar accommodation,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,6888817.6,HRK,29/07/2016,Ministarstvo poduzetništva i obrta,Ministry of Entrepreneurship and Crafts,06/02/2017
Croatia,Croatia,Program dodjele potpora za održivu obnovu kulturne baštine ,﻿Support programme for sustainable restoration of cultural heritage,SA.43646,TM-10123910,07969842379,Grad Pazin,﻿City of Pazin,Only large enterprises,Jadranska Hrvatska,General public administration activities,Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,4937681,HRK,12/12/2016,Ministarstvo regionalnoga razvoja i fondova europske unije,﻿Ministry of Regional Development and EU Funds,23/05/2019
Croatia,Croatia,Program dodjele potpora za održivu obnovu kulturne baštine ,﻿Support programme for sustainable restoration of cultural heritage,SA.43646,TM-10123911,08727843572,Grad Kaštela,﻿Kaštela town,Only large enterprises,Jadranska Hrvatska,General public administration activities,Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,4393360,HRK,15/11/2016,Ministarstvo regionalnoga razvoja i fondova europske unije,﻿Ministry of Regional Development and EU Funds,23/05/2019
Croatia,Croatia,Program dodjele potpora za održivu obnovu kulturne baštine ,﻿Support programme for sustainable restoration of cultural heritage,SA.43646,TM-10123912,57340203536,Arheološki muzej u Splitu,﻿Split Archaeological Museum,Only large enterprises,Jadranska Hrvatska,Museums activities,Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,4196660,HRK,15/11/2016,Ministarstvo regionalnoga razvoja i fondova europske unije,﻿Ministry of Regional Development and EU Funds,23/05/2019
Croatia,Croatia,Program dodjele potpora za održivu obnovu kulturne baštine ,﻿Support programme for sustainable restoration of cultural heritage,SA.43646,TM-10123913,78755598868,Grad Split,﻿City of Split,Only large enterprises,Jadranska Hrvatska,General public administration activities,Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,4999822,HRK,15/11/2016,Ministarstvo regionalnoga razvoja i fondova europske unije,﻿Ministry of Regional Development and EU Funds,17/06/2019
Croatia,Croatia,Program dodjele potpora za održivu obnovu kulturne baštine ,﻿Support programme for sustainable restoration of cultural heritage,SA.43646,TM-10123914,85167032587,Hrvatska gospodarska komora,﻿Croatian Chamber of Commerce,Only large enterprises,Kontinentalna Hrvatska,Activities of business and employers membership organisations,Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,4875440,HRK,23/11/2016,Ministarstvo regionalnoga razvoja i fondova europske unije,﻿Ministry of Regional Development and EU Funds,17/06/2019
Croatia,Croatia,Program dodjele potpora za održivu obnovu kulturne baštine ,﻿Support programme for sustainable restoration of cultural heritage,SA.43646,TM-10123918,30050049642,Grad Osijek,﻿City of Osijek,Only large enterprises,Jadranska Hrvatska,General public administration activities,Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,52617194,HRK,20/01/2017,Ministarstvo regionalnoga razvoja i fondova europske unije,﻿Ministry of Regional Development and EU Funds,17/06/2019
