Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000224,26304775,Montema spol.s.r.o.,Montema spol.s.r.o.,Small and medium-sized entreprises,Střední Morava,Manufacture of structural metal products,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,17054550,CZK,05/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,13/02/2017
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000269,41190785,Alufix Bohemia spol.s.r.o.,Alufix Bohemia spol.s.r.o.,Small and medium-sized entreprises,Střední Čechy,Manufacture of paper and paper products,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,30442937,CZK,21/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,09/02/2017
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000273,25566130,DENCOP LIGHTING spol. s r.o.,DENCOP LIGHTING spol. s r.o.,Small and medium-sized entreprises,Střední Morava,"Manufacture of electric motors, generators and transformers",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,19407150,CZK,14/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,09/02/2017
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000279,25822209,ZEMAN ART s.r.o.,Zeman ART s.r.o.,Small and medium-sized entreprises,Moravskoslezsko,Printing and service activities related to printing,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,14237850,CZK,21/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,09/02/2017
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000280,27968782,FUTURE BAU s.r.o.,Future BAU s.r.o.,Small and medium-sized entreprises,Jihozápad,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,14034812,CZK,12/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,09/02/2017
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000271,26957400,Top Alulit s r.o.,TOP Alulit s r.o.,Small and medium-sized entreprises,Jihovýchod,Casting of light metals,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,21815275,CZK,14/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,09/02/2017
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000272,48108731,"DYNEX TECHNOLOGIES, spol.s r.o.","DYNEX TECHNOLOGIES, spol.s r.o.",Small and medium-sized entreprises,Střední Čechy,Manufacture of pharmaceutical preparations,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,20224234,CZK,27/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,09/02/2017
Czechia,Czechia,Support scheme for innovation ,﻿Support for innovation,SA.42315,TM-10000222,49968416,BD Sensors .s.r.o.,BD Sensors.s.r.o.,Small and medium-sized entreprises,Střední Morava,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,33250000,CZK,25/08/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,03/02/2017
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000270,63479613,DIRECT MEDIA  s.r.o.,Direct MEDIA s.r.o.,Small and medium-sized entreprises,Jihovýchod,Finishing of textiles,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,25792651,CZK,16/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,09/02/2017
Czechia,Czechia,NEMOVITOSTI,REAL ESTATE,SA.42319,TM-10000274,26159031,"AUFEER DESIGN, s.r.o.","AUFEER DESIGN, s.r.o.",Small and medium-sized entreprises,Střední Čechy,"Manufacture of motor vehicles, trailers and semi-trailers",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,18010093,CZK,14/09/2016,Ministerstvo průmyslu a obchodu,Ministry of Industry and Trade,09/02/2017
