Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
France,France,Régime cadre RDI 2014-2020 - plan d'évaluation,R & D & I framework scheme evaluation plan 2014-2020 —,SA.40391,TM-10000146,389019274,EASSII IC,EASSII IC,Small and medium-sized entreprises,Isère,Computer consultancy activities,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,1013935,1013935,EUR,12/07/2016,Ministère de l'économie et des finances,Ministry of Economy and Finance,15/09/2016
France,France,Régime cadre RDI 2014-2020 - plan d'évaluation,R & D & I framework scheme evaluation plan 2014-2020 —,SA.40391,TM-10000145,499425551,CORSO MAGENTA,CORSO MAGENTA,Small and medium-sized entreprises,Île de France,"Wholesale of wood, construction materials and sanitary equipment",Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,613279,613279,EUR,19/07/2016,Ministère de l'économie et des finances,Ministry of Economy and Finance,15/09/2016
France,France,Régime cadre RDI 2014-2020 - plan d'évaluation,R & D & I framework scheme evaluation plan 2014-2020 —,SA.40391,TM-10000141,531860823,MUQUANS,MUQUANS,Small and medium-sized entreprises,Gironde,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,1406726,1406726,EUR,28/07/2016,Ministère de l'économie et des finances,Ministry of Economy and Finance,15/09/2016
France,France,Régime cadre RDI 2014-2020 - plan d'évaluation,R & D & I framework scheme evaluation plan 2014-2020 —,SA.40391,TM-10000147,487631095,ALCATEL LUENT BELL LABS FRANCE,ALCATEL BELL LABS FRANCE LUENT,Small and medium-sized entreprises,Île de France,Activities of head offices,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,1068768,1068768,EUR,16/08/2016,Ministère de l'économie et des finances,Ministry of Economy and Finance,15/09/2016
France,France,Régime cadre RDI 2014-2020 - plan d'évaluation,R & D & I framework scheme evaluation plan 2014-2020 —,SA.40391,TM-10000148,383470937,THALES COMMUNICATIONS ET SECURITY,THALES COMMUNICATIONS AND SECURITY,Only large enterprises,Île de France,Manufacture of communication equipment,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,1240219,1240219,EUR,07/07/2016,Ministère de l'économie et des finances,Ministry of Economy and Finance,15/09/2016
France,France,Aide à la recherche et au développement agricole (CASDAR),Aid for research and development (CASDAR),SA.40312,TM-10000698,784523318,ACTA,ACTA,Small and medium-sized entreprises,France,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for research and development in the agricultural and forestry sectors (Article 31),,2233906,2233906,EUR,22/08/2016,Ministère de l'Agriculture et de l'alimentation,Ministry of Agriculture and Food,07/12/2016
France,France,Aide à la recherche et au développement agricole (CASDAR),Aid for research and development (CASDAR),SA.40312,TM-10000699,302984158,INSTITUT DE L’ELEVAGE (IDELE),INSTITUTE OF BREEDING (IDELE),Small and medium-sized entreprises,France,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for research and development in the agricultural and forestry sectors (Article 31),,2457233,2457233,EUR,01/07/2016,Ministère de l'Agriculture et de l'alimentation,Ministry of Agriculture and Food,07/12/2016
France,France,Régime d'aide à l'innovation et au développement durable du transport aérien,Aid scheme for innovation and sustainable development of air transport,SA.31561,TM-10001367,352383715,Airbus Helicopters,Airbus Helicopters,Only large enterprises,France,Manufacture of air and spacecraft and related machinery,Direct grant,,Research and development,,6430000,6430000,EUR,28/07/2016,Ministère de la Transition écologique et solidaire,Ministry of Solidarity and ecological transition,27/01/2017
France,France,Régime d'aide à l'innovation et au développement durable du transport aérien,Aid scheme for innovation and sustainable development of air transport,SA.31561,TM-10001370,352383715,Airbus Helicopters,Airbus Helicopters,Only large enterprises,France,Manufacture of air and spacecraft and related machinery,Direct grant,,Research and development,,12111400,12111400,EUR,22/07/2016,Ministère de la Transition écologique et solidaire,Ministry of Solidarity and ecological transition,27/01/2017
France,France,Régime cadre RDI 2014-2020 - plan d'évaluation,R & D & I framework scheme evaluation plan 2014-2020 —,SA.40391,TM-10000762,528 784 325,WEBSERVICES POUR L'EDUCATION,WEBSERVICES FOR EDUCATION,Small and medium-sized entreprises,Île de France,Scientific research and development,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,507120.61,507120.61,EUR,12/07/2016,Région IDF,IDF region,14/12/2016
