Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Luxembourg,Luxembourg,Prolongation du régime d''aide aux projets ou programmes de recherche-développement (Chapitre 2) et du régime d''aide à l''innovation de procédé et d''organisation dans les services (Art.11),Prolongation of the aid scheme for research and development projects or programmes (Chapter 2) and the system of aid for process and organisational innovation in services (Art. 11),SA.44155,TM-10001827,2015 2202 424,AMA MUNDU Technologies S.A.,﻿AMA MUNOF Technologies S.A.,Small and medium-sized entreprises,Luxembourg,Sewerage,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,618000,618000,EUR,15/07/2016,Ministère de l'Economie,Ministry of Economic Affairs,11/01/2017
Luxembourg,Luxembourg,Prolongation du régime d''aide aux projets ou programmes de recherche-développement (Chapitre 2) et du régime d''aide à l''innovation de procédé et d''organisation dans les services (Art.11),Prolongation of the aid scheme for research and development projects or programmes (Chapter 2) and the system of aid for process and organisational innovation in services (Art. 11),SA.44155,TM-10002060,19992228345,Soil-concept S.A,﻿Night Concept S.A,Small and medium-sized entreprises,Luxembourg,Treatment and disposal of non-hazardous waste,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,1458000,1458000,EUR,29/07/2016,Ministère de l'Economie,Ministry of Economic Affairs,20/01/2017
Luxembourg,Luxembourg,Prolongation du régime d''aide aux projets ou programmes de recherche-développement (Chapitre 2) et du régime d''aide à l''innovation de procédé et d''organisation dans les services (Art.11),Prolongation of the aid scheme for research and development projects or programmes (Chapter 2) and the system of aid for process and organisational innovation in services (Art. 11),SA.44155,TM-10002032,2010 2227 620,TRENDICTION S.A.,﻿TRENDION S.A.,Small and medium-sized entreprises,Luxembourg,"Data processing, hosting and related activities",Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,820000,820000,EUR,21/07/2016,Ministère de l'Economie,Ministry of Economic Affairs,20/01/2017
Luxembourg,Luxembourg,Prolongation du régime d'aide à la protection de l'environnement et à l'utilisation rationnelle des ressources naturelles,Prolongation of aid scheme for environmental protection and the rational use of natural resources,SA.44157,TM-10002033,20122210317,Oekostroum Weiler S.A.,﻿Oekostroum Weiler S.A.,Small and medium-sized entreprises,Luxembourg,Production of electricity,Direct grant/ Interest rate subsidy,,Investment aid for the promotion of energy from renewable sources (Art. 41),,6255000,6255000,EUR,29/07/2016,Ministère de l'Economie,Ministry of Economic Affairs,20/01/2017
Luxembourg,Luxembourg,Prolongation du régime d''aide aux projets ou programmes de recherche-développement (chapitre 2) et du régime d''aide à l''innovation de procédé et d''organisation dans les services (art.11),Prolongation du régime d’aide aux projets or programme de recherche-développement (chapitre 2) et du régime d’aide à l’innovation de Procédé et d’organisation of the part of the services (art.11),SA.47235,TM-10003988,1979 2402 995,Ceratizt Luxembourg S.à.l.,﻿Ceratizt Luxembourg S.à.l.,Only large enterprises,Luxembourg,Manufacture of metal forming machinery,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,2269000,EUR,08/03/2017,Ministère de l'Economie,Ministry of Economic Affairs,27/03/2017
Luxembourg,Luxembourg,Prolongation du régime d''aide aux projets ou programmes de recherche-développement (Chapitre 2) et du régime d''aide à l''innovation de procédé et d''organisation dans les services (Art.11),Prolongation of the aid scheme for research and development projects or programmes (Chapter 2) and the system of aid for process and organisational innovation in services (Art. 11),SA.44155,TM-10003863,1989 2202 187,ROTAREX S.A.,﻿ROTAREX S.A.,Only large enterprises,Luxembourg,Manufacture of other general-purpose machinery n.e.c.,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,510000,EUR,23/12/2016,Ministère de l'Economie,Ministry of Economic Affairs,02/05/2017
Luxembourg,Luxembourg,Regime d'aide au PME Industrie,Regime d’aide au PMU,SA.7544,TM-10004162,2014 24 69 481,TR-AX trailers S.à.r.l.,﻿TR-AX trailers S.à.r.l.,Small and medium-sized entreprises,Luxembourg,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Direct grant,,SMEs,,,530000,EUR,21/09/2016,Ministère de l'Economie,Ministry of Economic Affairs,27/03/2017
Luxembourg,Luxembourg,Prolongation du régime d''aide aux projets ou programmes de recherche-développement (Chapitre 2) et du régime d''aide à l''innovation de procédé et d''organisation dans les services (Art.11),Prolongation of the aid scheme for research and development projects or programmes (Chapter 2) and the system of aid for process and organisational innovation in services (Art. 11),SA.44155,TM-10003782,20002229928,Luxpet S.A.,﻿Luxpet S.A.,Only large enterprises,Luxembourg,Manufacture of other plastic products,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,,2199469,EUR,14/12/2016,Ministère de l'Economie,Ministry of Economic Affairs,08/03/2017
Luxembourg,Luxembourg,Prolongation du régime d''aide aux projets ou programmes de recherche-développement (Chapitre 2) et du régime d''aide à l''innovation de procédé et d''organisation dans les services (Art.11),Prolongation of the aid scheme for research and development projects or programmes (Chapter 2) and the system of aid for process and organisational innovation in services (Art. 11),SA.44155,TM-10015841,19492200045,GOODYEAR S.A,﻿GOODYEAR S.A,Only large enterprises,Luxembourg,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,1704690,EUR,23/12/2016,Ministère de l'Economie,Ministry of Economic Affairs,02/05/2017
Luxembourg,Luxembourg,Prolongation du régime d''aide aux projets ou programmes de recherche-développement (Chapitre 2) et du régime d''aide à l''innovation de procédé et d''organisation dans les services (Art.11),Prolongation of the aid scheme for research and development projects or programmes (Chapter 2) and the system of aid for process and organisational innovation in services (Art. 11),SA.44155,TM-10003800,20152423587,Mahle Behr Luxembourg s.à r.l.,﻿Mahle Behr Luxembourg s.à r.l.,Only large enterprises,Luxembourg,Manufacture of parts and accessories for motor vehicles,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,815000,EUR,14/12/2016,Ministère de l'Economie,Ministry of Economic Affairs,27/03/2017
