Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Netherlands,Netherlands,NL - EZ - DEI: Regeling gericht op Demonstratieprojecten op het gebied van energie en innovatie (2016),NL — MINISTRY OF ECONOMIC AFFAIRS — DEI: Demonstratieprojecten scheme focused on energy and innovation (2016),SA.44443,TM-10000444,34083341,Tata Steel Nederland Technology B.V.,"Tata Steel Technology B.V., the Netherlands",Only large enterprises,Noord-Holland,Scientific research and development,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,,1392551,EUR,25/07/2016,Ministerie van Economische Zaken,Ministry of Economic Affairs,26/05/2017
Netherlands,Netherlands,NL_BZK_CSDO Definitieve subsidieverlening project Onderweg naar de startblokken,Grant support to project Onderweg NL_BZK_CSDO Final taking off,SA.46765,TM-10000602,41017590,Stichting Circuit van Drenthe,Foundation Circuit of Drenthe,Small and medium-sized entreprises,Drenthe,Sports activities,Direct grant/ Interest rate subsidy,,Aid for sport and multifunctional recreational infrastructures (Art. 55),,4000000,4000000,EUR,11/10/2016,provincie Drenthe,Province of Drenthe,29/11/2016
Netherlands,Netherlands,NL - EZ - DEI: Regeling gericht op Demonstratieprojecten op het gebied van energie en innovatie (2016),NL — MINISTRY OF ECONOMIC AFFAIRS — DEI: Demonstratieprojecten scheme focused on energy and innovation (2016),SA.44443,TM-10001417,27028140,Uniper Benelux B.V.,Uniper Benelux B.V.,Only large enterprises,Zuid-Holland,"Electricity, gas, steam and air conditioning supply",Direct grant/ Interest rate subsidy,,Investment aid for the promotion of energy from renewable sources (Art. 41),,,1190265,EUR,19/09/2016,Ministerie van Economische Zaken,Ministry of Economic Affairs,12/05/2017
Netherlands,Netherlands,NL - EZ - DEI: Regeling gericht op Demonstratieprojecten op het gebied van energie en innovatie (2016),NL — MINISTRY OF ECONOMIC AFFAIRS — DEI: Demonstratieprojecten scheme focused on energy and innovation (2016),SA.44443,TM-10001419,24104547,Dow Benelux B.V.,Dow Benelux B.V.,Only large enterprises,Zeeland,Manufacture of chemicals and chemical products,Direct grant/ Interest rate subsidy,,Investment aid for energy efficiency measures (Art. 38),,1361000,1361000,EUR,19/07/2016,Ministerie van Economische Zaken,Ministry of Economic Affairs,28/12/2016
Netherlands,Netherlands,NL_BZK_CSDO_DR subsidiebeschikking Green Deal Opvang en benutting CO2 uit biogas,Decision to grant the Green Deal NL_BZK_CSDO_DR Reception and utilisation of CO2 from biogas,SA.46889,TM-10001466,DE 246120721 (German VAT),REM GmbH,Brake GmbH,Small and medium-sized entreprises,Drenthe,Scientific research and development,Direct grant/ Interest rate subsidy,,Investment aid enabling undertakings to go beyond Union standards for environmental protection or increase the level of environmental protection in the absence of Union standards (Art. 36),,500000,500000,EUR,31/10/2016,provincie Drenthe,Province of Drenthe,10/01/2017
Netherlands,Netherlands,NL - EZ - DEI: Regeling gericht op Demonstratieprojecten op het gebied van energie en innovatie (2016),NL — MINISTRY OF ECONOMIC AFFAIRS — DEI: Demonstratieprojecten scheme focused on energy and innovation (2016),SA.44443,TM-10001421,50856286,Quby B.V.,Quby B.V.,Only large enterprises,Noord-Holland,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Investment aid for energy efficiency measures (Art. 38),,740700,740700,EUR,08/07/2016,Ministerie van Economische Zaken,Ministry of Economic Affairs,28/12/2016
Netherlands,Netherlands,NL - EZ - DEI: Regeling gericht op Demonstratieprojecten op het gebied van energie en innovatie (2016),NL — MINISTRY OF ECONOMIC AFFAIRS — DEI: Demonstratieprojecten scheme focused on energy and innovation (2016),SA.44443,TM-10001423,12061119,Holmel B.V.,Holmel B.V.,Small and medium-sized entreprises,Limburg (NL),Mixed farming,Direct grant/ Interest rate subsidy,,Investment aid for energy efficiency measures (Art. 38),,765953,765953,EUR,21/09/2016,Ministerie van Economische Zaken,Ministry of Economic Affairs,22/05/2017
Netherlands,Netherlands,NL - EZ - Regeling Topsector Energieprojecten 2016 (1e tender),NL — EZ — Energy projects 2016 (1nd tender top),SA.44442,TM-10001683,58763368,SCW Systems B.V.,SCW Systems B.V.,Small and medium-sized entreprises,Noord-Holland,Scientific research and development,Direct grant/ Interest rate subsidy,,Investment aid for the promotion of energy from renewable sources (Art. 41),,6000000,6000000,EUR,14/09/2016,Ministerie van Economische Zaken,Ministry of Economic Affairs,22/05/2017
Netherlands,Netherlands,NL - EZ - DEI: Regeling gericht op Demonstratieprojecten op het gebied van energie en innovatie (2016),NL — MINISTRY OF ECONOMIC AFFAIRS — DEI: Demonstratieprojecten scheme focused on energy and innovation (2016),SA.44443,TM-10001684,17131139,Enexis B.V.,Enexis BV,Only large enterprises,Noord-Brabant,"Electricity, gas, steam and air conditioning supply",Direct grant/ Interest rate subsidy,,Investment aid for energy efficiency measures (Art. 38),,1875068,1875068,EUR,14/07/2016,Ministerie van Economische Zaken,Ministry of Economic Affairs,28/12/2016
Netherlands,Netherlands,NL - EZ - DEI: Regeling gericht op Demonstratieprojecten op het gebied van energie en innovatie (2016),NL — MINISTRY OF ECONOMIC AFFAIRS — DEI: Demonstratieprojecten scheme focused on energy and innovation (2016),SA.44443,TM-10001685,52213463,Hoogheemraadschap van Schieland en de Krimpenerwaard,The Hoogheemraadschap Schieland and Krimpenerwaard,Only large enterprises,Zuid-Holland,Sewerage,Direct grant/ Interest rate subsidy,,Investment aid for the promotion of energy from renewable sources (Art. 41),,1901245,1901245,EUR,07/07/2016,Ministerie van Economische Zaken,Ministry of Economic Affairs,20/01/2017
