Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Slovakia,Slovakia,Slovak investment incentives act,Slovak investment incentives act,SA.41768,TM-10000676,47255374,Gestamp Nitra s.r.o.,Gestamp s.r.o. Nitra,Only large enterprises,Západné Slovensko,"Manufacture of motor vehicles, trailers and semi-trailers",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,9000000,8834338.81,EUR,26/09/2016,Ministerstvo hospodárstva SR,Ministerstvo hospodárstva SR,06/12/2016
Slovakia,Slovakia,Slovak investment incentives act,Slovak investment incentives act,SA.41768,TM-10003150,36211974,Kuenz- SK s.r.o,Kuenz- SK s.r.o,Only large enterprises,Západné Slovensko,Manufacture of machinery and equipment n.e.c.,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,398326.56,EUR,23/01/2017,Ministerstvo hospodárstva SR,Ministerstvo hospodárstva SR,21/02/2017
Slovakia,Slovakia,Slovak investment incentives act,Slovak investment incentives act,SA.41768,TM-10003149,36211974,Kuenz- SK s.r.o,Kuenz- SK s.r.o,Only large enterprises,Západné Slovensko,Manufacture of machinery and equipment n.e.c.,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,647464.96,EUR,23/01/2017,Ministerstvo hospodárstva SR,Ministerstvo hospodárstva SR,21/02/2017
Slovakia,Slovakia,Schéma štátnej pomoci na miestne infraštruktúry v oblasti nakladania s komunálnymi odpadmi pre programové obdobie 2014 – 2020 – skupinová  výnimka,Aid scheme for local infrastructures in the field of municipal waste management for the 2014-2020 programming period — the block exemption,SA.44980,TM-10003890,36040100,Mestský podnik Dudince s.r.o.,Municipal undertaking Dudince s.r.o.,Small and medium-sized entreprises,Západné Slovensko,"Waste collection, treatment and disposal activities; materials recovery",Direct grant/ Interest rate subsidy,,Investment aid for local infrastructures (Art. 56),,,881306.33,EUR,05/01/2017,Ministerstvo životného prostredia SR,Ministry of the Environment of the Slovak Republic,13/03/2017
Slovakia,Slovakia,Schéma štátnej pomoci na miestne infraštruktúry v oblasti nakladania s komunálnymi odpadmi pre programové obdobie 2014 – 2020 – skupinová  výnimka,Aid scheme for local infrastructures in the field of municipal waste management for the 2014-2020 programming period — the block exemption,SA.44980,TM-10003895,31718914,Technické služby mesta Prešov a.s.,The technical services of the city of Prešov a.s.,Small and medium-sized entreprises,Východné Slovensko,"Waste collection, treatment and disposal activities; materials recovery",Direct grant/ Interest rate subsidy,,Investment aid for local infrastructures (Art. 56),,,829223.32,EUR,05/01/2017,Ministerstvo životného prostredia SR,Ministry of the Environment of the Slovak Republic,13/03/2017
Slovakia,Slovakia,Schéma štátnej pomoci na miestne infraštruktúry v oblasti nakladania s komunálnymi odpadmi pre programové obdobie 2014 – 2020 – skupinová  výnimka,Aid scheme for local infrastructures in the field of municipal waste management for the 2014-2020 programming period — the block exemption,SA.44980,TM-10003899,43795773,"VPS Vysoké Tatry, s.r.o.","SGU Vysoké Tatry, s.r.o.",Small and medium-sized entreprises,Východné Slovensko,"Waste collection, treatment and disposal activities; materials recovery",Direct grant/ Interest rate subsidy,,Investment aid for local infrastructures (Art. 56),,,505148.89,EUR,22/12/2016,Ministerstvo životného prostredia SR,Ministry of the Environment of the Slovak Republic,13/03/2017
Slovakia,Slovakia,Schéma štátnej pomoci na miestne infraštruktúry v oblasti nakladania s komunálnymi odpadmi pre programové obdobie 2014 – 2020 – skupinová  výnimka,Aid scheme for local infrastructures in the field of municipal waste management for the 2014-2020 programming period — the block exemption,SA.44980,TM-10003885,00306517,Mesto Koárovo,City Koárovo,Small and medium-sized entreprises,Západné Slovensko,"Waste collection, treatment and disposal activities; materials recovery",Direct grant/ Interest rate subsidy,,Investment aid for local infrastructures (Art. 56),,,939860.4,EUR,05/01/2017,Ministerstvo životného prostredia SR,Ministry of the Environment of the Slovak Republic,13/03/2017
Slovakia,Slovakia,Schéma štátnej pomoci na miestne infraštruktúry v oblasti nakladania s komunálnymi odpadmi pre programové obdobie 2014 – 2020 – skupinová  výnimka,Aid scheme for local infrastructures in the field of municipal waste management for the 2014-2020 programming period — the block exemption,SA.44980,TM-10003887,00314099,Mesto Kysucké Nové Mesto,City Kysucké Nové Mesto,Small and medium-sized entreprises,Západné Slovensko,"Waste collection, treatment and disposal activities; materials recovery",Direct grant/ Interest rate subsidy,,Investment aid for local infrastructures (Art. 56),,,2120722.46,EUR,05/01/2017,Ministerstvo životného prostredia SR,Ministry of the Environment of the Slovak Republic,13/03/2017
Slovakia,Slovakia,Schéma štátnej pomoci na ochranu životného prostredia v oblasti znižovania znečisťovania ovzdušia a zlepšenia jeho kvality pre programové obdobie 2014 – 2020 –  s k u p i n o v á   v ý n i m k a v znení dodatku č. 1,The scheme of State aid for environmental protection in the field of reducing air pollution and improving its quality for the 2014-2020 programming period — to at p o s i n the ý n i m k and as Appendix No 1,SA.45618,TM-10003898,36199222,"U. S. Steel Košice, s.r.o.","U. S. Steel Kosice, s.r.o.",Only large enterprises,Východné Slovensko,Mining of coal and lignite,Direct grant/ Interest rate subsidy,,Investment aid enabling undertakings to go beyond Union standards for environmental protection or increase the level of environmental protection in the absence of Union standards (Art. 36),,,18627706,EUR,07/02/2017,Ministerstvo životného prostredia SR,Ministry of the Environment of the Slovak Republic,13/03/2017
Slovakia,Slovakia,Schéma štátnej pomoci na miestne infraštruktúry v oblasti nakladania s komunálnymi odpadmi pre programové obdobie 2014 – 2020 – skupinová  výnimka,Aid scheme for local infrastructures in the field of municipal waste management for the 2014-2020 programming period — the block exemption,SA.44980,TM-10003888,00315737,Mesto Ružomberok,City of Ružomberok,Small and medium-sized entreprises,Západné Slovensko,"Waste collection, treatment and disposal activities; materials recovery",Direct grant/ Interest rate subsidy,,Investment aid for local infrastructures (Art. 56),,,1961160.24,EUR,05/01/2017,Ministerstvo životného prostredia SR,Ministry of the Environment of the Slovak Republic,13/03/2017
