Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Austria,Austria,Umweltförderung im Inland,Domestic environmental support,SA.41223,TM-10000229,ATU23468003,Lenzing Aktiengesellschaft,Lenzing Aktiengesellschaft,Only large enterprises,Oberösterreich,Manufacture of chemicals and chemical products,Direct grant/ Interest rate subsidy,,Investment aid enabling undertakings to go beyond Union standards for environmental protection or increase the level of environmental protection in the absence of Union standards (Art. 36),,1500000,1500000,EUR,07/10/2016,Kommunalkredit Public Consulting GmbH (KPC),Kommunalkredit Public Consulting GmbH (KPC),12/10/2016
Austria,Austria,Umweltförderung im Inland,Domestic environmental support,SA.41223,TM-10000232,ATU19872305,KIKA Möbel-Handelsgesellschaft m.b.H.,Kika furniture trading company (m.b.H.),Only large enterprises,Kärnten,"Retail trade, except of motor vehicles and motorcycles",Direct grant/ Interest rate subsidy,,Investment aid for energy efficiency measures (Art. 38),,703446,703446,EUR,07/10/2016,Kommunalkredit Public Consulting GmbH (KPC),Kommunalkredit Public Consulting GmbH (KPC),12/10/2016
Austria,Austria,Umweltförderung im Inland,Domestic environmental support,SA.41223,TM-10000234,ATU62535867,Bioenergie Bucklige Welt GmbH,Bioenergy Buckily World GmbH,Small and medium-sized entreprises,Niederösterreich,"Electricity, gas, steam and air conditioning supply",Direct grant/ Interest rate subsidy,,Investment aid for the promotion of energy from renewable sources (Art. 41),,942826,942826,EUR,07/10/2016,Kommunalkredit Public Consulting GmbH (KPC),Kommunalkredit Public Consulting GmbH (KPC),12/10/2016
Austria,Austria,Einzelbeihilfe Bergbahnen Silvretta Galtür GmbH & Co. Kommanditgesellschaft,Individual aid Bergrailways Silvretta Galtdoors GmbH & Co. limited partnership,SA.45992,TM-10000165,ATU32585002,Bergbahnen Silvretta Galtür GmbH & Co. Kommanditgesellschaft,Bergrailways Silvretta Galtdoors GmbH & Co. limited partnership,Small and medium-sized entreprises,Tirol,Other passenger land transport n.e.c.,Direct grant/ Interest rate subsidy,,Investment aid to SMEs (Art. 17),,1000000,1000000,EUR,12/07/2016,"Amt der Tiroler Landesregierung, Abteilung ""Wirtschaft""","Tyrol Provincial Government Office, Department of Economy",09/01/2017
Austria,Austria,Umweltförderung im Inland,Domestic environmental support,SA.41223,TM-10000230,ATU54521806,Veitsch-Radex GmbH & Co OG,Veitsch-Radex GmbH & Co OG,Only large enterprises,Steiermark,Other mining and quarrying,Direct grant/ Interest rate subsidy,,Investment aid enabling undertakings to go beyond Union standards for environmental protection or increase the level of environmental protection in the absence of Union standards (Art. 36),,600000,600000,EUR,07/10/2016,Kommunalkredit Public Consulting GmbH (KPC),Kommunalkredit Public Consulting GmbH (KPC),12/10/2016
Austria,Austria,Umweltförderung im Inland,Domestic environmental support,SA.41223,TM-10000231,ATU28602900,Bioenergie Pischelsdorf eGen,Bioenergy Pischelsdorf egene,Small and medium-sized entreprises,Steiermark,"Electricity, gas, steam and air conditioning supply",Direct grant/ Interest rate subsidy,,Investment aid for the promotion of energy from renewable sources (Art. 41),,1164226,1164226,EUR,07/10/2016,Kommunalkredit Public Consulting GmbH (KPC),Kommunalkredit Public Consulting GmbH (KPC),12/10/2016
Austria,Austria,Umweltförderung im Inland,Domestic environmental support,SA.41223,TM-10000233,ATU52020209,Tirol Kliniken GmbH,Tirol clinics GmbH,Only large enterprises,Tirol,Human health activities,Direct grant/ Interest rate subsidy,,Investment aid for energy efficiency measures (Art. 38),,500000,500000,EUR,07/10/2016,Kommunalkredit Public Consulting GmbH (KPC),Kommunalkredit Public Consulting GmbH (KPC),12/10/2016
Austria,Austria,Umweltförderung im Inland,Domestic environmental support,SA.41223,TM-10000235,ATU36020505,Getzner Werkstoffe Holding GmbH,Getzner Materials Holding GmbH,Only large enterprises,Vorarlberg,Manufacture of rubber and plastic products,Direct grant/ Interest rate subsidy,,Investment aid enabling undertakings to go beyond Union standards for environmental protection or increase the level of environmental protection in the absence of Union standards (Art. 36),,500000,500000,EUR,07/10/2016,Kommunalkredit Public Consulting GmbH (KPC),Kommunalkredit Public Consulting GmbH (KPC),12/10/2016
Austria,Austria,Umweltförderung im Inland,Domestic environmental support,SA.41223,TM-10000236,ATU36906808,voestalpine Stahl Donawitz GmbH,voestalpine Stahl Donawitz GmbH,Only large enterprises,Steiermark,Manufacture of basic metals,Direct grant/ Interest rate subsidy,,Investment aid enabling undertakings to go beyond Union standards for environmental protection or increase the level of environmental protection in the absence of Union standards (Art. 36),,1500000,1500000,EUR,07/10/2016,Kommunalkredit Public Consulting GmbH (KPC),Kommunalkredit Public Consulting GmbH (KPC),12/10/2016
Austria,Austria,Richtlinie für die Steirische Wirtschaftsförderung 2014-2020 in der Fassung vom 12.05.2016,Guidelines for the economic development of economic activities 2014-2020 in the version of 12.05.2016,SA.45616,TM-10001349,ATU44986404,piCHEM Forschungs- und Entwicklungs GmbH,piCHEM Research and Development GmbH,Small and medium-sized entreprises,Steiermark,Manufacture of basic pharmaceutical products,Direct grant/ Interest rate subsidy,,Investment aid to SMEs (Art. 17),,654217.48,654217.48,EUR,01/07/2016,Steirische Wirtschaftsförderungsgesellschaft mbH (SFG),Steirische Wirtschaftsförderungsgesellschaft mbH (SFG),15/12/2016
