Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Belgium,Belgium,Strategische transformatiesteun aan ondernemingen in het Vlaamse Gewest,Strategische transformatiesteun ondernemingen aan het Vlaamse Gewest,SA.41602,TM-10000167,436410522,Tiense Suikerraffinaderij,Suikerraffinaderij Tiense,Only large enterprises,VLAAMS GEWEST,Manufacture of sugar,Direct grant/ Interest rate subsidy,,Training aid (Art. 31),,735542,735542,EUR,08/07/2016,VLAIO,VLAIO,20/12/2016
Belgium,Belgium,R&D&I-scheme Flanders. Prolongation of an existing R&D&I-scheme. Belgium (Flanders) ,R & D & I-scheme Flanders. Extension of an existing R & D & I-scheme. Belgium (Flanders),SA.33193,TM-10000190,0437.862.552,PROCTER & GAMBLE SERVICES COMPANY,﻿PROCTER & GAMBLE SERVICES COMPANY,Only large enterprises,VLAAMS GEWEST,Activities of head offices,Direct grant,,Research and development,,1186130,1186130,EUR,14/07/2016,VLAIO,VLAIO,11/01/2017
Belgium,Belgium,R&D&I-scheme Flanders. Prolongation of an existing R&D&I-scheme. Belgium (Flanders) ,R & D & I-scheme Flanders. Extension of an existing R & D & I-scheme. Belgium (Flanders),SA.33193,TM-10000191,0553.769.733,LUCEDA,﻿LUCEEDA,Small and medium-sized entreprises,VLAAMS GEWEST,Computer programming activities,Direct grant,,Research and development,,568947,568947,EUR,14/07/2016,VLAIO,VLAIO,11/01/2017
Belgium,Belgium,R&D&I-scheme Flanders. Prolongation of an existing R&D&I-scheme. Belgium (Flanders) ,R & D & I-scheme Flanders. Extension of an existing R & D & I-scheme. Belgium (Flanders),SA.33193,TM-10000195,0406.414.162,OLEON,﻿OLEON,Only large enterprises,VLAAMS GEWEST,Manufacture of other organic basic chemicals,Direct grant,,Research and development,,647445,647445,EUR,14/07/2016,VLAIO,VLAIO,11/01/2017
Belgium,Belgium,R&D&I-scheme Flanders. Prolongation of an existing R&D&I-scheme. Belgium (Flanders) ,R & D & I-scheme Flanders. Extension of an existing R & D & I-scheme. Belgium (Flanders),SA.33193,TM-10000196,0537.868.067,XenomatiX,﻿XenomatiX,Small and medium-sized entreprises,VLAAMS GEWEST,Engineering activities and related technical consultancy,Direct grant,,Research and development,,1515441.91,1515441.91,EUR,14/07/2016,VLAIO,VLAIO,11/01/2017
Belgium,Belgium,R&D&I-scheme Flanders. Prolongation of an existing R&D&I-scheme. Belgium (Flanders) ,R & D & I-scheme Flanders. Extension of an existing R & D & I-scheme. Belgium (Flanders),SA.33193,TM-10000200,0836.737.737,EVOLVED ANALYTICS,﻿YEVOLVED ANALYTICS,Small and medium-sized entreprises,VLAAMS GEWEST,Business and other management consultancy activities,Direct grant,,Research and development,,637917,637917,EUR,14/07/2016,VLAIO,VLAIO,11/01/2017
Belgium,Belgium,Strategische transformatiesteun aan ondernemingen in het Vlaamse Gewest,Strategische transformatiesteun ondernemingen aan het Vlaamse Gewest,SA.41602,TM-10000166,405570460,Crea,CREA,Small and medium-sized entreprises,VLAAMS GEWEST,Other printing,Direct grant/ Interest rate subsidy,,Investment aid to SMEs (Art. 17),,503160,503160,EUR,08/07/2016,VLAIO,VLAIO,20/12/2016
Belgium,Belgium,Strategische transformatiesteun aan ondernemingen in het Vlaamse Gewest,Strategische transformatiesteun ondernemingen aan het Vlaamse Gewest,SA.41602,TM-10000168,405548486,Deceuninck,Deceuninck,Only large enterprises,VLAAMS GEWEST,Manufacture of buildersâ€™ ware of plastic,Direct grant/ Interest rate subsidy,,Training aid (Art. 31),,720839,720839,EUR,08/07/2016,VLAIO,VLAIO,20/12/2016
Belgium,Belgium,Strategische transformatiesteun aan ondernemingen in het Vlaamse Gewest,Strategische transformatiesteun ondernemingen aan het Vlaamse Gewest,SA.41602,TM-10000181,438811073,Lites,Lites,Small and medium-sized entreprises,VLAAMS GEWEST,Support activities to performing arts,Direct grant/ Interest rate subsidy,,Investment aid to SMEs (Art. 17),,1000000,100000,EUR,15/07/2016,VLAIO,VLAIO,20/12/2016
Belgium,Belgium,Strategische transformatiesteun aan ondernemingen in het Vlaamse Gewest,Strategische transformatiesteun ondernemingen aan het Vlaamse Gewest,SA.41602,TM-10000183,477511994,ON Semiconductor Belgium,On Semiconductor Belgium,Only large enterprises,VLAAMS GEWEST,Manufacture of electronic components,Direct grant/ Interest rate subsidy,,Training aid (Art. 31),,1000000,1000000,EUR,09/09/2016,VLAIO,VLAIO,20/12/2016
