Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Bulgaria,Bulgaria,Схема за регионална инвестиционна помощ по чл. 2а от ЗНИ,Scheme for regional investment aid under Art. 2a of the IPA,SA.43653,TM-10004010,201409183,"""Куинтайлс България"" ЕООД",“Kuintajls Bulgaria EOOD,Only large enterprises,София (столица) (Sofia (stolitsa)),Scientific research and development,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,2427195,BGN,11/01/2017,Ministry of Economy,Ministry of Economy,20/03/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079764,131565714,БАЙНЕТ ДЕЙТА КОМЮНИКЕЙШЪНС БЪЛГАРИЯ ЕООД,БАЙНЕТ DATA КОМЮНИКЕЙШЪНС BULGARIA EOOD,Only large enterprises,Северозападен (Severozapaden),Computer facilities management activities,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,1457028,BGN,05/05/2017,Ministry of Economy,Ministry of Economy,01/09/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079768,114057215,МИЗИЯ-96 АД,МИЗИЯ-96 AD,Only large enterprises,Северозападен (Severozapaden),Manufacture of other outerwear,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,1020073.5,BGN,23/01/2017,Ministry of Economy,Ministry of Economy,01/09/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079775,103624905,ВиЕмЛабс ООД,ВиЕмЛабс OOD,Small and medium-sized entreprises,Северозападен (Severozapaden),Computer programming activities,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,988875,BGN,18/01/2017,Ministry of Economy,Ministry of Economy,01/09/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079776,112029879,БИОВЕТ АД,BIOVET AD,Only large enterprises,Южен централен (Yuzhen tsentralen),Manufacture of basic pharmaceutical products,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,1500000,BGN,18/01/2017,Ministry of Economy,Ministry of Economy,01/09/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079784,040474262,ЕМКО ЕООД,ЕМКО EOOD,Only large enterprises,Северозападен (Severozapaden),Manufacture of weapons and ammunition,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,1312948.68,BGN,18/01/2017,Ministry of Economy,Ministry of Economy,01/09/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079777,117693631,ПОЛИСАН АД,POLISAN AD,Small and medium-sized entreprises,Северен централен (Severen tsentralen),"Wholesale of solid, liquid and gaseous fuels and related products",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,999960,BGN,18/01/2017,Ministry of Economy,Ministry of Economy,01/09/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079779,200908653,ТЕД - БЕД ЕАД,TED БЕД — ЕАД,Only large enterprises,Южен централен (Yuzhen tsentralen),Manufacture of mattresses,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,1486493.5,BGN,18/01/2017,Ministry of Economy,Ministry of Economy,01/09/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079785,202840425,ТПН 2013 ЕООД,AM 2013 EOOD,Small and medium-sized entreprises,Северозападен (Severozapaden),Manufacture of computers and peripheral equipment,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,980000,BGN,18/01/2017,Ministry of Economy,Ministry of Economy,01/09/2017
Bulgaria,Bulgaria,Regional scheme for support for innovation in companies,﻿Regional scheme for support for innovation in companies,SA.44088,TM-10079787,115062959,АТРА  96 ООД,АТРА 96 LTD,Small and medium-sized entreprises,Южен централен (Yuzhen tsentralen),Manufacture of wiring devices,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,999972,BGN,18/01/2017,Ministry of Economy,Ministry of Economy,01/09/2017
