Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001371,36456469,Addifab A/S,Addifab A/S,Small and medium-sized entreprises,Sjælland,Manufacture of other special-purpose machinery n.e.c.,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,4526180,4526180,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001372,69749917,Coloplast AS,Coloplast AS,Only large enterprises,Hovedstaden,Manufacture of medical and dental instruments and supplies,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,5050000,5050000,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001374,19751937,SBS Friction A/S,Friction SBS A/S,Only large enterprises,Syddanmark,Manufacture of motorcycles,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,5562500,5562500,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001375,37201049,"Easyinspect ApS,","Easyinspect ApS,",Small and medium-sized entreprises,Hovedstaden,Technical testing and analysis,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,6122700,6122700,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001376,12006632,"Gram Commercial A/S, Bioline","Gram Bioline Commercial A/S,",Only large enterprises,Syddanmark,Manufacture of non-domestic cooling and ventilation equipment,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,6783500,6783500,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001377,33504004,iMotions A/S,iMotions A/S,Small and medium-sized entreprises,Hovedstaden,Computer programming activities,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,7523750,7523750,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001310,12516479,Chr. Hansen A/S,CHR. Hansen A/S,Only large enterprises,Hovedstaden,Manufacture of other chemical products n.e.c.,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,9500000,9500000,DKK,14/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001386,36439440,Brain+ ApS,Brain + ApS,Small and medium-sized entreprises,Hovedstaden,Other software publishing,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,8166600,8166600,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,Innobooster,InnoBooster,SA.45266,TM-10001392,34878366,GALECTO BIOTECH ApS,GALECTO BIOTECH ApS,Small and medium-sized entreprises,Hovedstaden,Research and experimental development on biotechnology,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,4914000,4914000,DKK,01/08/2016,Innovationsfonden,The Innovation Fund,21/12/2016
Denmark,Denmark,Innobooster,InnoBooster,SA.45266,TM-10001393,33382170,CHRETO ApS,CHRETO ApS,Small and medium-sized entreprises,Hovedstaden,Research and experimental development on biotechnology,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,4558950,4558950,DKK,05/10/2016,Innovationsfonden,The Innovation Fund,21/12/2016
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001389,23155117,SFI - The Danish National Centre for Social Research,SFI — The Danish National Centre for Social Research,Only large enterprises,Hovedstaden,Research and experimental development on social sciences and humanities,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,5028973,5028973,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001387,10123828,Pactor A/S,Pactor A/S,Small and medium-sized entreprises,Hovedstaden,Computer programming activities,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,4472250,4472250,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,"Store projekter - (Public - Private Collaboration, Research and Development (Large projects))","Major projects — (Public — Private Collaboration, Research and Development (Large projects))",SA.41251,TM-10001390,29235740,Decibel,Decibels,Small and medium-sized entreprises,Hovedstaden,Other social work activities without accommodation n.e.c.,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,4911601,4911601,DKK,15/12/2016,Innovationsfonden,The Innovation Fund,13/01/2017
Denmark,Denmark,Aid for the costs of control and prevention of animal diseases and to make good the damage caused by these diseases,Aid for the costs of control and prevention of animal diseases and to make good the damage caused by these diseases,SA.40249,TM-10002213,31582091,Aviagen,Aviagen,Small and medium-sized entreprises,Denmark,Raising of poultry,Direct grant,,Aid for combating animal diseases and plant pests (Article 26),,6262638.38,6262638.38,DKK,07/12/2016,NaturErhvervstyrelsen,The Danish AgriFish Agency,19/05/2017
Denmark,Denmark,DR og TV 2 Danmark A/S´ kulturstøtte til dansk film,"Dr and TV 2 Danmark A/S, Danish film culture",SA.43844,TM-10002802,35233857,Meta Film Aps,Meta Film Aps,Small and medium-sized entreprises,Byen København,"Motion picture, video and television programme production activities",Direct grant/ Interest rate subsidy,,Aid schemes for audio-visual works (Art. 54),,,4000000,DKK,15/08/2016,Kulturministeriet,Kulturministeriet — Ministry of Culture,10/02/2017
Denmark,Denmark,DR og TV 2 Danmark A/S´ kulturstøtte til dansk film,"Dr and TV 2 Danmark A/S, Danish film culture",SA.43844,TM-10002803,34619395,Zentropa Entertainments 31,Zentropa Entertainments 31,Small and medium-sized entreprises,Københavns omegn,"Motion picture, video and television programme production activities",Direct grant/ Interest rate subsidy,,Aid schemes for audio-visual works (Art. 54),,,6500000,DKK,06/12/2016,Kulturministeriet,Kulturministeriet — Ministry of Culture,10/02/2017
Denmark,Denmark,Energiteknologisk Udviklings- og Demonstrationsprogram,Energy technology Development and Demonstration,SA.42063,TM-10002809,30060946,DTU,DTU,Only large enterprises,Denmark,Tertiary education,Direct grant/ Interest rate subsidy,,Feasibility studies (Art. 25(2)(d)),,,3786394,DKK,10/10/2016,Energistyrelsen,Danish Energy Agency,21/12/2017
Denmark,Denmark,Innovationsmiljøer,Innovation,SA.39368,TM-10003050,34091978,Infuser ApS,Infuser ApS,Small and medium-sized entreprises,Hovedstaden,Remediation activities and other waste management services,Provision of risk finance,,Aid for start-ups (Art. 22),,3267500,,DKK,27/11/2016,Styrelsen for Institutioner og Uddannelsesstøtte,Danish Agency for Institutions and Training aid,27/10/2017
Denmark,Denmark,Innovationsmiljøer,Innovation,SA.39368,TM-10003052,34091978,Infuser ApS,Infuser ApS,Small and medium-sized entreprises,Hovedstaden,Remediation activities and other waste management services,Loan/ Repayable advances,,Aid for start-ups (Art. 22),,1400000,1400000,DKK,27/11/2016,Styrelsen for Institutioner og Uddannelsesstøtte,Danish Agency for Institutions and Training aid,27/10/2017
Denmark,Denmark,Innovationsmiljøer,Innovation,SA.39368,TM-10003056,35644547,Norlase ApS,Norlase ApS,Small and medium-sized entreprises,Sjælland,Manufacture of other electrical equipment,Loan/ Repayable advances,,Aid for start-ups (Art. 22),,687855,687855,DKK,15/12/2016,Styrelsen for Institutioner og Uddannelsesstøtte,Danish Agency for Institutions and Training aid,27/10/2017
Denmark,Denmark,Innovationsmiljøer,Innovation,SA.39368,TM-10003059,35481214,Oncoral PharmaApS,Oncoral PharmaApS,Small and medium-sized entreprises,Hovedstaden,Research and experimental development on biotechnology,Loan/ Repayable advances,,Aid for start-ups (Art. 22),,3630129,3630129,DKK,02/11/2016,Styrelsen for Institutioner og Uddannelsesstøtte,Danish Agency for Institutions and Training aid,27/10/2017
Denmark,Denmark,Innovationsmiljøer,Innovation,SA.39368,TM-10003062,37268941,Freesense ApS,Freesense ApS,Small and medium-sized entreprises,Hovedstaden,"Manufacture of instruments and appliances for measuring, testing and navigation",Provision of risk finance,,Aid for start-ups (Art. 22),,21525,,DKK,19/12/2016,Styrelsen for Institutioner og Uddannelsesstøtte,Danish Agency for Institutions and Training aid,27/10/2017
Denmark,Denmark,Innovationsmiljøer,Innovation,SA.39368,TM-10003063,37268941,Freesese ApS,Freesese ApS,Small and medium-sized entreprises,Hovedstaden,"Manufacture of instruments and appliances for measuring, testing and navigation",Loan/ Repayable advances,,Aid for start-ups (Art. 22),,3574800,3574800,DKK,19/12/2016,Styrelsen for Institutioner og Uddannelsesstøtte,Danish Agency for Institutions and Training aid,27/10/2017
Denmark,Denmark,Innovationsmiljøer,Innovation,SA.39368,TM-10003054,35644547,Norlase ApS,Norlase ApS,Small and medium-sized entreprises,Sjælland,Manufacture of other electrical equipment,Provision of risk finance,,Aid for start-ups (Art. 22),,2884304,,DKK,15/12/2016,Styrelsen for Institutioner og Uddannelsesstøtte,Danish Agency for Institutions and Training aid,27/10/2017
Denmark,Denmark,Innovationsmiljøer,Innovation,SA.39368,TM-10003058,35481214,Oncoral PharmaApS,Oncoral PharmaApS,Small and medium-sized entreprises,Hovedstaden,Research and experimental development on biotechnology,Provision of risk finance,,Aid for start-ups (Art. 22),,31541,,DKK,02/11/2016,Styrelsen for Institutioner og Uddannelsesstøtte,Danish Agency for Institutions and Training aid,27/10/2017
