Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Estonia,Estonia,Kaugküttesüsteemide investeeringute toetamise tingimused,Conditions for support for investments in district heating systems,SA.44282,TM-10000503,10066299,Adven Eesti AS,Adven Eesti AS,Only large enterprises,Estonia,Steam and air conditioning supply,Direct grant/ Interest rate subsidy,,Investment aid for energy efficient district heating and cooling (Art. 46),,708673,708673,EUR,05/08/2016,SA Keskkonnainvesteeringute Keskus,Environmental Investment Centre,06/01/2017
Estonia,Estonia,Kaugküttesüsteemide investeeringute toetamise tingimused,Conditions for support for investments in district heating systems,SA.44282,TM-10000505,12114252,Fortum Eesti AS,Fortum Eesti AS,Only large enterprises,Estonia,"Electric power generation, transmission and distribution",Direct grant/ Interest rate subsidy,,Investment aid for energy efficient district heating and cooling (Art. 46),,580800,580800,EUR,14/09/2016,SA Keskkonnainvesteeringute Keskus,Environmental Investment Centre,06/01/2017
Estonia,Estonia,Kaugküttesüsteemide investeeringute toetamise tingimused,Conditions for support for investments in district heating systems,SA.44282,TM-10000501,10344321,Aktsiaselts Saku Maja,"The House of European History, a limited liability company Saku",Only large enterprises,Estonia,Steam and air conditioning supply,Direct grant/ Interest rate subsidy,,Investment aid for energy efficient district heating and cooling (Art. 46),,781990,781990,EUR,05/08/2016,SA Keskkonnainvesteeringute Keskus,Environmental Investment Centre,06/01/2017
Estonia,Estonia,Kaugküttesüsteemide investeeringute toetamise tingimused,Conditions for support for investments in district heating systems,SA.44282,TM-10000504,10351812,Danpower Eesti AS,Danpower Estonia as,Only large enterprises,Estonia,Steam and air conditioning supply,Direct grant/ Interest rate subsidy,,Investment aid for energy efficient district heating and cooling (Art. 46),,505000,505000,EUR,16/08/2016,SA Keskkonnainvesteeringute Keskus,Environmental Investment Centre,06/01/2017
Estonia,Estonia,Kaugküttesüsteemide investeeringute toetamise tingimused,Conditions for support for investments in district heating systems,SA.44282,TM-10000502,10160791,VKG Soojus AS,VKG Soojus AS,Only large enterprises,Estonia,Steam and air conditioning supply,Direct grant/ Interest rate subsidy,,Investment aid for energy efficient district heating and cooling (Art. 46),,926239,926239,EUR,30/08/2016,SA Keskkonnainvesteeringute Keskus,Environmental Investment Centre,09/01/2017
Estonia,Estonia,Piirkondade konkurentsivõime tugevdamise investeeringute toetus,Support for investment to strengthen regions’ competitiveness,SA.41188,TM-10000695,14048140,OÜ Hõbekeskus,OÜ Silver Centre,Small and medium-sized entreprises,Estonia,"Libraries, archives, museums and other cultural activities",Direct grant/ Interest rate subsidy,,Aid for sport and multifunctional recreational infrastructures (Art. 55),,1922105,1922105,EUR,17/11/2016,Ettevõtluse Arendamise Sihtasutus,Enterprise Estonia,06/01/2017
Estonia,Estonia,"Loomemajanduse tugistruktuuride, ühisprojektide ja ekspordivõimekuse arendamise toetus (muutmine 2016)","Support to creative structures for creative industries, joint projects and export capacity development (amendment 2016)",SA.45631,TM-10000694,14081255,Tallinn Film Wonderland OÜ,Tallinn Film Wonderland OÜ,Small and medium-sized entreprises,EESTI,Development of building projects,Direct grant/ Interest rate subsidy,,Aid for sport and multifunctional recreational infrastructures (Art. 55),,1000000,1000000,EUR,28/11/2016,Ettevõtluse Arendamise Sihtasutus,Enterprise Estonia,06/01/2017
Estonia,Estonia,Kinnisasja tasuta või alla hariliku väärtuse kasutusse andmise abikava,An aid scheme for the provision of immovable property free of charge or below normal value,SA.45819,TM-10000696,90013414,Sihtasutus Eesti Kunstimuuseum,Estonian Museum of Fine Arts,Only large enterprises,Estonia,"Libraries, archives, museums and other cultural activities",Other (Kinnisasja tasuta kasutusse andmine),The provision free of charge of immovable property,Aid for culture and heritage conservation (Art. 53),,3811885,3811885,EUR,03/08/2016,Kultuuriministeerium,Ministry of Culture,06/01/2017
Estonia,Estonia,"Loomemajanduse tugistruktuuride, ühisprojektide ja ekspordivõimekuse arendamise toetus (muutmine 2016)","Support to creative structures for creative industries, joint projects and export capacity development (amendment 2016)",SA.45631,TM-10000693,90013472,Sihtasutus Narva Loomeinkubaator,Foundation Narva Looeminator,Small and medium-sized entreprises,Estonia,Activities of other membership organisations,Direct grant/ Interest rate subsidy,,Aid for sport and multifunctional recreational infrastructures (Art. 55),,965154,965154,EUR,25/11/2016,Ettevõtluse Arendamise Sihtasutus,Enterprise Estonia,06/01/2017
Estonia,Estonia,Support of the audiovisual sector in Estonia,Support of the audiovisual sector in Estonia,SA.37526,TM-10000697,10307082,Osaühing Eesti Joonisfilm,Private limited company in Estonian drawing,Small and medium-sized entreprises,EESTI,"Motion picture, video and television programme activities",Direct grant,,Culture,,800000,800000,EUR,28/10/2016,Sihtasutus Eesti Filmi Instituut,Estonian Film Institute,06/01/2017
Estonia,Estonia,Keskkonnaprogrammist grupierandiga hõlmatud riigiabi andmise tingimused,Environmental programme the conditions for granting State aid covered by the block exemption,SA.39671,TM-10000754,10558691,EstPak Plastik Aktsiaselts,EstPage plastic limited company,Small and medium-sized entreprises,Estonia,Manufacture of plastic products,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,639497,639497,EUR,30/11/2016,SA Keskkonnainvesteeringute Keskus,Environmental Investment Centre,06/01/2017
