Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Finland,Finland,Suomen elokuvasäätiön tuki elokuvan ja muun kuvaohjelman valmistamiseen ja jakeluun sekä muun elokuvakulttuurin edistämiseen. Tuotantotuen verovapaus.,The support of the Finnish Film Foundation for the production and distribution of a film and other picture programme and the promotion of other film culture. Production aid tax exemption.,SA.40781,TM-10000622,2584339-7,Kaiho Republic Oy,Kskin Republic Oy,Small and medium-sized entreprises,MANNER-SUOMI,"Motion picture, video and television programme production activities",Direct grant/ Interest rate subsidy,,Aid schemes for audio-visual works (Art. 54),,,700000,EUR,11/10/2016,Suomen elokuvasäätiö,Finnish Film Foundation,05/12/2016
Finland,Finland,Uusiutuvan energian ja energiatehokkuuden RPA-tuki 2016/2017,Aid 2016/2017 for renewable energy and energy efficiency,SA.44605,TM-10001482,2670244-9,Punkalaitumen Bioenergiayhtiö Oy,Estonian Bioenergy company Oy,Small and medium-sized entreprises,Pirkanmaa,"Electric power generation, transmission and distribution",Direct grant/ Interest rate subsidy,,Investment aid for the promotion of energy from renewable sources (Art. 41),,1084200,1084200,EUR,01/07/2016,Työ- ja elinkeinoministeriö,Finnish Ministry of Employment and the Economy,20/12/2016
Finland,Finland,Tutkimus- ja kehityshankkeisiin myönnettävä tukiTuki laajakaistainfrastruktuureillePaikallisille infrastruktuureille myönnettävä investointituki,Aid for investment in research and development projects for broadband infrastructure investment aid,SA.42145,TM-10001659,2704880-5,Saimaan Kuitu Oy,The Saimaa Kuitu Oy,Small and medium-sized entreprises,Etelä-Karjala,Other telecommunications activities,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,600000,600000,EUR,05/07/2016,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus","Centre for Economic Development, Transport and the Environment of Southeast Finland",27/12/2016
Finland,Finland,Business development scheme,﻿Business development scheme,SA.39643,TM-10001666,1543501-5,Kaivospuu Oy,Mining tree Oy,Small and medium-sized entreprises,Pohjois- ja Itä-Suomi,Sawmilling and planing of wood,Direct grant/ Interest rate subsidy,,Investment aid to SMEs (Art. 17),,1273800,1273800,EUR,01/07/2016,"Etelä-Savon elinkeino-, liikenne- ja  ympäristökeskus","Centre for Economic Development, Transport and the Environment of South Savo",30/12/2016
Finland,Finland,Tutkimus- ja kehityshankkeisiin myönnettävä tukiTuki laajakaistainfrastruktuureillePaikallisille infrastruktuureille myönnettävä investointituki,Aid for investment in research and development projects for broadband infrastructure investment aid,SA.42145,TM-10001804,2546477-6,Pudasjärven Kyläverkot Oy,Pudasjärvi Kylägillnets Oy,Small and medium-sized entreprises,Pohjois-Pohjanmaa,Other telecommunications activities,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,,865200,EUR,07/11/2016,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Centre for Economic Development, Transport and the Environment of North Ostrobothnia",09/01/2017
Finland,Finland,Alueellinen investointitukiPk-yrityksille myönnettävä investointitukiUusiutuvista energialähteistä tuotetun energian käytön edistämiseen myönnettävä investointituki,Regional investment aid for investment to promote the use of energy from renewable energy sources,SA.41809,TM-10001910,1973718-2,Oy Erähotelli Nellim Ltd,Oy Erähotelli Nellim Ltd,Small and medium-sized entreprises,Lappi,Hotels and similar accommodation,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,1037928,1037928,EUR,12/07/2016,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Centre for Economic Development, Transport and the Environment of Lapland",17/01/2017
Finland,Finland,Tekesin tukiohjelma tutkimusinfrastruktuurien rakentamiseen ja parantamiseen,Tekes programme for the construction and upgrade of research infrastructures,SA.41377,TM-10001937,0313471-7,Helsingin Yliopisto,University of Helsinki,Only large enterprises,Helsinki-Uusimaa,Tertiary education,Direct grant/ Interest rate subsidy,,Investment aid for research infrastructures (Art. 26),,10409000,10409000,EUR,22/11/2016,Innovaatiorahoituskeskus Tekes,Tekes — the Finnish Funding Agency for Innovation,06/03/2017
Finland,Finland,Aid Scheme for research and development projects (Tekes),﻿Aid scheme for research and development projects,SA.40749,TM-10001968,0209911-2,Polar Electro Oy,Polar Electro Oy,Only large enterprises,Pohjois-Pohjanmaa,"Manufacture of instruments and appliances for measuring, testing and navigation",Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,779000,779000,EUR,22/09/2016,Innovaatiorahoituskeskus Tekes,Tekes — the Finnish Funding Agency for Innovation,06/03/2017
Finland,Finland,Aid Scheme for research and development projects (Tekes),﻿Aid scheme for research and development projects,SA.40749,TM-10001978,0211600-7,Sandvik Mining and Construction Oy,Sandvik Mining and Construction Oy,Only large enterprises,Pirkanmaa,"Manufacture of machinery for mining, quarrying and construction",Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,600000,600000,EUR,30/09/2016,Innovaatiorahoituskeskus Tekes,Tekes — the Finnish Funding Agency for Innovation,06/03/2017
Finland,Finland,Aid Scheme for research and development projects (Tekes),﻿Aid scheme for research and development projects,SA.40749,TM-10001988,2588986-2,Liikennevirta Oy,Traffic flow Oy,Only large enterprises,Helsinki-Uusimaa,Distribution of electricity,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,1180000,1180000,EUR,14/10/2016,Innovaatiorahoituskeskus Tekes,Tekes — the Finnish Funding Agency for Innovation,06/03/2017
Finland,Finland,Aid Scheme for research and development projects (Tekes),﻿Aid scheme for research and development projects,SA.40749,TM-10001989,0705579-2,F-Secure Oyj,F-secure plc,Only large enterprises,Helsinki-Uusimaa,Computer programming activities,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,600000,600000,EUR,14/10/2016,Innovaatiorahoituskeskus Tekes,Tekes — the Finnish Funding Agency for Innovation,06/03/2017
Finland,Finland,Aid Scheme for research and development projects (Tekes),﻿Aid scheme for research and development projects,SA.40749,TM-10001990,2038517-1,Lamor Corporation Ab,Lamor Corporation Ab,Small and medium-sized entreprises,Helsinki-Uusimaa,Wholesale of other machinery and equipment,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,741000,EUR,20/10/2016,Innovaatiorahoituskeskus Tekes,Tekes — the Finnish Funding Agency for Innovation,06/03/2017
