Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Greece,Greece,COMPLETION AND UPGRADE OF THE ATHENS CONSERVATOIRE BUILDING COMPLEX,COMPLETION AND UPGRADE OF THE ATHENS CONSERVATOIRE COMPLEX BUILDING,SA.48798,TM-10078944,090011060,ΜΟΥΣΙΚΟΣ ΚΑΙ ΔΡΑΜΑΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΩΔΕΙΟ ΑΘΗΝΩΝ,MUSIC AND ΔΡΑΜΑΤΙΚΟΣ ΩΔΕΙΟ ASSOCIATION OF ATHENS,Small and medium-sized entreprises,Aττική (Attiki),Performing arts,Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,4798970.04,EUR,20/06/2017,Managing Authority of Operational Program Attiki,Attiki Managing Authority of Operational Program,21/08/2017
Greece,Greece,"Development of basic infrastructures & applications for the exploitation of geothermal energy in urban, rural and industrial areas (Action 4a.7.1)","Development of basic infrastructures & applications for the exploitation of Geothermal energy in urban, rural and industrial areas (Action 4a.7.1)",SA.48672,TM-10078945,997712303,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,MUNICIPALITY OF ALEXANDROUPOLI,Only large enterprises,"Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",Direct grant/ Interest rate subsidy,,Investment aid for energy efficient district heating and cooling (Art. 46),,,5838977.16,EUR,04/08/2017,Managing Authority of Operational Program Eastern Macedonia - Thrace,Managing Authority of the Operational Programme Eastern Macedonia — Thrace,21/08/2017
Greece,Greece,ESTABLISHMENT AND PROMOTION OF INTERNATIONAL INSTITUTIONS OF CONTEMPORARY CULTURE IN ATTICA,ESTABLISHMENT AND PROMOTION OF INTERNATIONAL INSTITUTIONS OF CONTEMPORARY CULTURE IN ATTICA,SA.48983,TM-10079575,999466605,ΙΔΡΥΜΑ ΜΙΧΑΛΗΣ ΚΑΚΟΓΙΑΝΝΗΣ,MICHALIS ΚΑΚΟΓΙΑΝΝΗΣ FOUNDATION,Small and medium-sized entreprises,Aττική (Attiki),"Creative, arts and entertainment activities",Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,970000,EUR,02/08/2017,Managing Authority of Operational Program Attiki,Attiki Managing Authority of Operational Program,31/08/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079718,99810593,ΗΡΩΝ ΘΕΡΜΟΗΛΕΚΤΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,IRON ΘΕΡΜΟΗΛΕΚΤΡΙΚΗ ANONYMI ETAIREIA,Only large enterprises,Στερεά Ελλάδα (Sterea Ellada),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,1628594.88,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,"13th, 14th and 15th International Festival of Digital Arts of Greece – Athens Digital Arts Festival","13th, 14th and 15th International Festival of Arts of Greece — Athens Digital Arts Festival",SA.48982,TM-10079574,999074591,MULTITRAB PRODUCTIONS ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΙΑ,MULTITRAB PRODUCTIONS URBAN NON ΚΕΡΔΟΣΚΟΠΙΚΗ SA,Small and medium-sized entreprises,Aττική (Attiki),"Creative, arts and entertainment activities",Direct grant/ Interest rate subsidy,,Aid for culture and heritage conservation (Art. 53),,,699973.65,EUR,31/07/2017,Managing Authority of Operational Program Attiki,Attiki Managing Authority of Operational Program,31/08/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079678,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,"Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)",Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,981450,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079701,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,Θεσσαλία (Thessalia),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,1134855,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079705,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,Δυτική Ελλάδα (Dytiki Ellada),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,1893690,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079707,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,Στερεά Ελλάδα (Sterea Ellada),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY OF SUPPLY,,15000000,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079716,99810593,ΗΡΩΝ ΘΕΡΜΟΗΛΕΚΤΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,IRON ΘΕΡΜΟΗΛΕΚΤΡΙΚΗ ANONYMI ETAIREIA,Only large enterprises,Στερεά Ελλάδα (Sterea Ellada),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY OF SUPPLY,,1613504.47,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079686,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,Δυτική Ελλάδα (Dytiki Ellada),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),ΑΣΦΑΛΙΑ ARRANGEMENTS,,5958855,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079687,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,Πελοπόννησος (Peloponnisos),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY OF SUPPLY,,1378035,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079702,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,"Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)",Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,1430280,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079703,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,Κεντρική Μακεδονία (Kentriki Makedonia),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY OF SUPPLY,,2794005,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079704,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,Δυτική Μακεδονία (Dytiki Makedonia),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,2026890,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079706,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,Δυτική Ελλάδα (Dytiki Ellada),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY OF SUPPLY,,1480365,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079726,998920730,ΑΛΟΥΜΙΝΙΟΝ ΤΗΣ ΕΛΛΑΔΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΒΕΑΕ,INDUSTRIAL AND COMMERCIAL ALUMINIUM OF GREECE ΒΕΑΕ ANONYMOS ETAIREIA,Only large enterprises,Στερεά Ελλάδα (Sterea Ellada),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,8924985,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079684,90000045,DEH AE,DEH AE,Only large enterprises,"Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)",Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,981450.02,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079712,90000045,ΔΕΗ ΑΕ,PPC,Only large enterprises,ATTIKΗ (ATTIKI),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,14999999.98,EUR,13/10/2016,rae,RAE,16/10/2017
Greece,Greece,Transitory electricity flexibility remuneration mechanism (FRM),Transitory electricity flexibility remuneration mechanism (FRM),SA.38968,TM-10079725,99838441,PROTERGIA ΘΕΡΜΟΗΛΕΚΤΡΙΚΗ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ Ανώνυμη Εταιρεία Παραγωγής και Προμήθειας Ηλεκτρικής Ενέργειας,Protergia ThERMOĪLEKTRIKĪ San NICOLAOU Anonymi Etaireia Electricity Production,Only large enterprises,Στερεά Ελλάδα (Sterea Ellada),Production of electricity,Direct grant/ Interest rate subsidy,,Other (ΑΣΦΑΛΕΙΑ ΕΦΟΔΙΑΣΜΟΥ),SECURITY ARRANGEMENTS,,15000000,EUR,13/10/2016,rae,RAE,16/10/2017
