Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10003871,4905881759,Netop Films ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,636582,EUR,11/07/2016,Kvikmyndamiðstöð,,10/03/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10003889,4701111000,Zik Zak ehf.,,Small and medium-sized entreprises,Höfuðborgarsvæði,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,636582,EUR,29/09/2016,Kvikmyndamiðstöð,,13/03/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10003902,5906033410,Truenorth ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,636582,EUR,14/11/2016,Kvikmyndamiðstöð,,16/11/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10003903,6610120800,RVK Studios ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,755668,EUR,26/02/2017,Kvikmyndamiðstöð,,16/11/2017
Iceland,Iceland,Support scheme relating to temporary reimbursement in respect of film making,Support scheme relating to temporary reimbursement in respect of film making,262.12.COL,TM-10087762,5504161660,Austrið 4 ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,985598,EUR,06/12/2016,Kvikmyndamidstod - vegna endurgreiðslna,,24/11/2017
Iceland,Iceland,Support scheme relating to temporary reimbursement in respect of film making,Support scheme relating to temporary reimbursement in respect of film making,262.12.COL,TM-10087764,4909161050,Hornets production ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,1274604,EUR,03/05/2017,Kvikmyndamidstod - vegna endurgreiðslna,,23/08/2018
Iceland,Iceland,Support scheme relating to temporary reimbursement in respect of film making,Support scheme relating to temporary reimbursement in respect of film making,262.12.COL,TM-10087765,6508150840,AYR ehf,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,753734,EUR,14/06/2017,Kvikmyndamidstod - vegna endurgreiðslna,,24/11/2017
Iceland,Iceland,Support scheme relating to temporary reimbursement in respect of film making,Support scheme relating to temporary reimbursement in respect of film making,262.12.COL,TM-10087767,5201171210,Mirror Productions ehf,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,829733,EUR,26/10/2017,Kvikmyndamidstod - vegna endurgreiðslna,,24/11/2017
Iceland,Iceland,Support scheme relating to temporary reimbursement in respect of film making,Support scheme relating to temporary reimbursement in respect of film making,262.12.COL,TM-10087761,5610131010,Fært TS ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,1581280,EUR,19/12/2016,Kvikmyndamidstod - vegna endurgreiðslna,,24/11/2017
Iceland,Iceland,Support scheme relating to temporary reimbursement in respect of film making,Support scheme relating to temporary reimbursement in respect of film making,262.12.COL,TM-10087763,6212151830,FF8 Icelan ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,3598057,EUR,17/11/2016,Kvikmyndamidstod - vegna endurgreiðslna,,24/11/2017
Iceland,Iceland,Support scheme relating to temporary reimbursement in respect of film making,Support scheme relating to temporary reimbursement in respect of film making,262.12.COL,TM-10087766,6203161990,F2016 ehf,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,547728,EUR,01/06/2017,Kvikmyndamidstod - vegna endurgreiðslna,,24/11/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10086900,6011131040,Askja Film ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,587741,EUR,25/09/2017,Kvikmyndamiðstöð,,17/11/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10086901,6610120800,RVK Studios ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,503778,EUR,12/10/2017,Kvikmyndamiðstöð,,17/11/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10086896,5905780109,Sagafilm,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,755668,EUR,20/06/2017,Kvikmyndamiðstöð,,16/11/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10086898,5905780109,Sagafilm ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,587741,EUR,01/04/2017,Kvikmyndamiðstöð,,17/11/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10086899,4406911889,Kvikmyndaféag Íslands ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,810243,EUR,07/08/2017,Kvikmyndamiðstöð,,17/11/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10086897,5606002080,Gulldrengurinn,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,545760,EUR,06/07/2017,Kvikmyndamiðstöð,,17/11/2017
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10096526,4905881759,Netop Films ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,885312,EUR,25/01/2018,Kvikmyndamiðstöð,,05/04/2018
Iceland,Iceland,Kvikmyndastyrkir,Kvikmyndastyrkir,ESA.788383,TM-10108894,5106070740,Join Motion Pictures ehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,885312,EUR,14/08/2018,Kvikmyndamiðstöð,,23/08/2018
Iceland,Iceland,Support scheme relating to temporary reimbursement in respect of film making,Support scheme relating to temporary reimbursement in respect of film making,262.12.COL,TM-10108895,5905780109,Sagafilmehf.,,Small and medium-sized entreprises,Iceland,"Motion picture, video and television programme production activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,607024,EUR,25/05/2018,Kvikmyndamidstod - vegna endurgreiðslna,,23/08/2018
Iceland,Iceland,Stuðningur við nýsköpunarfyrirtæki,Stuðningur við nýsköpunarfyrirtæki,ESA.79321,TM-10164906,6002122570,Arctic Smolt hf.,,Small and medium-sized entreprises,Iceland,Marine aquaculture,Tax advantage or tax exemption,,Research and development,,,503778,EUR,30/10/2017,Ríkisskattstjóri,,03/07/2019
Iceland,Iceland,Stuðningur við nýsköpunarfyrirtæki,Stuðningur við nýsköpunarfyrirtæki,ESA.79321,TM-10164909,5602710189,Össur hf.,,Small and medium-sized entreprises,Iceland,Manufacture of medical and dental instruments and supplies,Tax advantage or tax exemption,,Research and development,,,503778,EUR,30/10/2017,Ríkisskattstjóri,,03/07/2019
