Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Ireland,Ireland,Fallen Animal Scheme - TSE Subsidy,,SA.40369,TM-10000343,286616,Waterford Proteins,,Only large enterprises,IRELAND,"AGRICULTURE, FORESTRY AND FISHING",Subsidised services,,"Aid for removal of fallen stock (Article 27(c), (d) or (e))",,,8902322.56,EUR,30/09/2019,"Department of Agriculture, Food and the Marine",,21/12/2016
Ireland,Ireland,Fallen Animal Scheme - TSE Subsidy,,SA.40369,TM-10000341,136971,College Proteins Ltd,,Only large enterprises,IRELAND,"AGRICULTURE, FORESTRY AND FISHING",Subsidised services,,"Aid for removal of fallen stock (Article 27(c), (d) or (e))",,,5931121.83,EUR,09/12/2019,"Department of Agriculture, Food and the Marine",,21/12/2016
Ireland,Ireland,Fallen Animal Scheme - TSE Subsidy,,SA.40369,TM-10000342,33508,Dublin Products Ltd,,Only large enterprises,IRELAND,"AGRICULTURE, FORESTRY AND FISHING",Subsidised services,,"Aid for removal of fallen stock (Article 27(c), (d) or (e))",,,5929241.95,EUR,09/12/2019,"Department of Agriculture, Food and the Marine",,21/12/2016
Ireland,Ireland,Fallen Animal Scheme - TSE Subsidy,,SA.40369,TM-10000344,NI034218,Foyle Food Group Ltd,,Only large enterprises,IRELAND,"AGRICULTURE, FORESTRY AND FISHING",Subsidised services,,"Aid for removal of fallen stock (Article 27(c), (d) or (e))",,,1394769.72,EUR,30/09/2019,"Department of Agriculture, Food and the Marine",,21/12/2016
Ireland,Ireland,Research Development and Innovation Group Block Exemption Scheme 2014- 2020,,SA.39318,TM-10000719,495507,Gencell Biosystems Limited,,Only large enterprises,Mid-West,Manufacture of pharmaceutical preparations,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,890257,890257,EUR,21/07/2016,IDA Ireland,,20/01/2017
Ireland,Ireland,National Parks and Wildlife Service Farm Plan Scheme,,SA.42964,TM-10000606,Y1641465,TYOL limited,,Small and medium-sized entreprises,IRELAND,Mixed farming,Direct grant/ Interest rate subsidy,,Aid for investments in favour of conservation of cultural and natural heritage located on the agricultural holding (Article 29),,,247059.34,EUR,30/09/2019,"Department of Agriculture, Food and the Marine",,21/12/2016
Ireland,Ireland,Scheme of Investment Aid for the Development of the Commercial Horticulture Sector 2007-2013,,SA.37884,TM-10001326,W1830432,Declan Hurley,,Small and medium-sized entreprises,Ireland,"AGRICULTURE, FORESTRY AND FISHING",Direct grant,,Investment in agricultural holdings,,,136348.76,EUR,24/11/2017,"Department of Agriculture, Food and the Marine",,21/12/2016
Ireland,Ireland,Scheme of Investment Aid for the Development of the Commercial Horticulture Sector 2007-2013,,SA.37884,TM-10001327,F125C202,Denis Harford,,Small and medium-sized entreprises,Ireland,"AGRICULTURE, FORESTRY AND FISHING",Direct grant,,Investment in agricultural holdings,,,119835,EUR,01/07/2016,"Department of Agriculture, Food and the Marine",,21/12/2016
Ireland,Ireland,Scheme of Investment Aid for the Development of the Commercial Horticulture Sector 2007-2013,,SA.37884,TM-10001328,329729,Brookridge Farm Limited,,Small and medium-sized entreprises,Ireland,"AGRICULTURE, FORESTRY AND FISHING",Direct grant,,Investment in agricultural holdings,,,194934,EUR,24/11/2017,"Department of Agriculture, Food and the Marine",,21/12/2016
Ireland,Ireland,Scheme of Investment Aid for the Development of the Commercial Horticulture Sector 2007-2013,,SA.37884,TM-10001329,440365,Doyle Produce (Mooncoin) Ltd,,Small and medium-sized entreprises,Ireland,"AGRICULTURE, FORESTRY AND FISHING",Direct grant,,Aid for tangible or intangible investments in agricultural holding linked to primary agricultural production (Article 14),,60441,60441,EUR,01/07/2016,"Department of Agriculture, Food and the Marine",,21/12/2016
