Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Latvia,Latvia,Support for investments in the processing of agricultural products,Support for investment in the processing of agricultural products,SA.42164,TM-10001398,48503018367,AS TĒRVETES AL,﻿AS TĒRVETE AL,Small and medium-sized entreprises,Latvija,Manufacture of malt,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,750000,750000,EUR,30/08/2016,Lauku atbalsta dienests,Rural Support Service,20/12/2016
Latvia,Latvia,Atbalsts jaunu produktu ieviešanai ražošanā,Aid for the production of new products,SA.45545,TM-10001468,40003031676,VALMIERAS STIKLA ŠĶIEDRA,OF GLASS,Only large enterprises,Latvija,Manufacture of glass fibres,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,2450000,2450000,EUR,12/12/2016,Centrālā finanšu un līgumu aģentūra,Central Finance and Contracting Agency,20/12/2016
Latvia,Latvia,Atbalsts ieguldījumiem ražošanas telpu un infrastruktūras izveidei vai rekonstrukcijai,Aid for investments for the construction or reconstruction of industrial premises and infrastructure,SA.45422,TM-10001476,50003428031,Mārupes Metālmeistars,Marupes metālmeistars,Small and medium-sized entreprises,Latvija,Manufacture of other fabricated metal products n.e.c.,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,799480.74,799480.74,EUR,03/11/2016,Centrālā finanšu un līgumu aģentūra,Central Finance and Contracting Agency,20/12/2016
Latvia,Latvia,Atbalsts ieguldījumiem ražošanas telpu un infrastruktūras izveidei vai rekonstrukcijai,Aid for investments for the construction or reconstruction of industrial premises and infrastructure,SA.45422,TM-10001481,50103186141,TECNOPALI NORTH EUROPE,TECNOPALI NORTH EUROPE,Small and medium-sized entreprises,Latvija,Manufacture of metal structures and parts of structures,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,833058.47,833058.47,EUR,03/11/2016,Centrālā finanšu un līgumu aģentūra,Central Finance and Contracting Agency,20/12/2016
Latvia,Latvia,Atbalsts ieguldījumiem ražošanas telpu un infrastruktūras izveidei vai rekonstrukcijai,Aid for investments for the construction or reconstruction of industrial premises and infrastructure,SA.45422,TM-10001480,40003294211,Tukuma Piens,Tukums Milk,Small and medium-sized entreprises,Latvija,Operation of dairies and cheese making,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,964778.3,964778.3,EUR,02/12/2016,Centrālā finanšu un līgumu aģentūra,Central Finance and Contracting Agency,20/12/2016
Latvia,Latvia,the Law on the application of taxes in free ports and special economic zones,the Law on the application of tax in free ports and special economic zones,SA.39142,TM-10001516,41203016397,"AS ""Ventspils GrainTerminal""",JSC “Ventspils GrainTerminal”,Small and medium-sized entreprises,Latvija,Warehousing and storage,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,3150000,2000001 - 5000000,EUR,20/09/2016,Ventspils brīvostas pārvalde,The Ventspils Free Port Authority,20/12/2016
Latvia,Latvia,Atbalsts ieguldījumiem ražošanas telpu un infrastruktūras izveidei vai rekonstrukcijai,Aid for investments for the construction or reconstruction of industrial premises and infrastructure,SA.45422,TM-10001470,42103073886,Vecās Ostmalas Biznesa Parks,Old Ostmalas Business Parks,Small and medium-sized entreprises,Latvija,Rental and operating of own or leased real estate,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,582594.57,582594.57,EUR,02/12/2016,Centrālā finanšu un līgumu aģentūra,Central Finance and Contracting Agency,20/12/2016
Latvia,Latvia,Atbalsts ieguldījumiem ražošanas telpu un infrastruktūras izveidei vai rekonstrukcijai,Aid for investments for the construction or reconstruction of industrial premises and infrastructure,SA.45422,TM-10001472,90000284085,Ventspils Brīvostas pārvalde,Ventspils Free Port Authority,Only large enterprises,Latvija,Service activities incidental to water transportation,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,1165802.83,1165802.83,EUR,03/11/2016,Centrālā finanšu un līgumu aģentūra,Central Finance and Contracting Agency,20/12/2016
Latvia,Latvia,the Law on the application of taxes in free ports and special economic zones,the Law on the application of tax in free ports and special economic zones,SA.39142,TM-10001636,LV42103050760,"Liepājas speciālās ekonomiskās zonas SIA ""GI Termināls""",SIA “Liepāja Special Economic Zone GI terminal”,Small and medium-sized entreprises,Latvija,Cargo handling,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,1170400,1000001 - 2000000,EUR,26/09/2016,Liepājas speciālās ekonomiskās zonas pārvalde,Liepāja Special Economic Zone Authority,21/12/2016
Latvia,Latvia,the Law on the application of taxes in free ports and special economic zones,the Law on the application of tax in free ports and special economic zones,SA.39142,TM-10001637,LV42103042138,"Liepājas speciālās ekonomiskās zonas ""EURO DK"" SIA",Liepāja Special Economic Zone DK SIA “EURO,Small and medium-sized entreprises,Latvija,Wholesale of electronic and telecommunications equipment and parts,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,624580,500001 - 1000000,EUR,09/12/2016,Liepājas speciālās ekonomiskās zonas pārvalde,Liepāja Special Economic Zone Authority,21/12/2016
Latvia,Latvia,Atbalsts tehnoloģiju pārneses un riska kapitāla jomā,Aid in the field of technology transfer and venture capital,SA.43793,TM-10001783,LV40003654405,Mobilly SIA,Mobilly SIA,Small and medium-sized entreprises,Latvija,"Other activities auxiliary to financial services, except insurance and pension funding",Provision of risk finance,,Regional aid - investment aid (Art. 14) - Scheme,,700000,700000,EUR,11/10/2016,"AS ""Attīstības finanšu institūcija Altum""",“Development AS Altum financial institution,30/12/2016
Latvia,Latvia,Atbalsts tehnoloģiju pārneses un riska kapitāla jomā,Aid in the field of technology transfer and venture capital,SA.43793,TM-10001784,LV40003900797,Pure Chocolate SIA,Pure Chocolate SIA,Small and medium-sized entreprises,Latvija,"Manufacture of cocoa, chocolate and sugar confectionery",Provision of risk finance,,Regional aid - investment aid (Art. 14) - Scheme,,1150000,1150000,EUR,24/08/2016,"AS ""Attīstības finanšu institūcija Altum""",“Development AS Altum financial institution,30/12/2016
Latvia,Latvia,Atbalsts tehnoloģiju pārneses un riska kapitāla jomā,Aid in the field of technology transfer and venture capital,SA.43793,TM-10001772,LV40203022089,Kool Latvija SIA,Kool Latvia SIA,Small and medium-sized entreprises,Latvija,Retail sale of automotive fuel in specialised stores,Provision of risk finance,,Regional aid - investment aid (Art. 14) - Scheme,,1500000,1500000,EUR,31/10/2016,"AS ""Attīstības finanšu institūcija Altum""",“Development AS Altum financial institution,30/12/2016
Latvia,Latvia,Atbalsts tehnoloģiju pārneses un riska kapitāla jomā,Aid in the field of technology transfer and venture capital,SA.43793,TM-10001776,LV40103582122,CWP SIA,CWP SIA,Small and medium-sized entreprises,Latvija,Installation of industrial machinery and equipment,Provision of risk finance,,Regional aid - investment aid (Art. 14) - Scheme,,1400000,1400000,EUR,27/09/2016,"AS ""Attīstības finanšu institūcija Altum""",“Development AS Altum financial institution,30/12/2016
Latvia,Latvia,Support for investments in the processing of agricultural products,Support for investment in the processing of agricultural products,SA.42164,TM-10014852,44101010992,SIA KUNTURI,﻿SIA KUNTURI,Small and medium-sized entreprises,Latvija,Processing and preserving of meat,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,1086820,EUR,21/03/2017,Lauku atbalsta dienests,Rural Support Service,04/04/2017
