Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Lithuania,Lithuania,"2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 1 prioriteto „Mokslinių tyrimų, eksperimentinės plėtros ir inovacijų skatinimas“ priemonės Nr. 01.2.1-LVPA-K-823 „SmartInvest LT+“","Measure No 01.2.1-LVPA-K-823 ‘SmartInvest LT +’ of Priority 1 ‘Promoting research, experimental development and innovation’ of the 2014-2020 Operational Programme for investments from the European Union funds",SA.45356,TM-10000241,300555649,"Adform Lithuania, UAB",Lithuania UAB Adform,Only large enterprises,Lithuania,"Computer programming, consultancy and related activities",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,933255.06,933255.06,EUR,17/08/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,11/10/2016
Lithuania,Lithuania,"2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 1 prioriteto „Mokslinių tyrimų, eksperimentinės plėtros ir inovacijų skatinimas“ priemonės Nr. 01.2.1-LVPA-K-823 „SmartInvest LT+“","Measure No 01.2.1-LVPA-K-823 ‘SmartInvest LT +’ of Priority 1 ‘Promoting research, experimental development and innovation’ of the 2014-2020 Operational Programme for investments from the European Union funds",SA.45356,TM-10000242,302915590,UAB Virtustream LT,UAB Virtustream LT,Small and medium-sized entreprises,Lietuva,"Computer programming, consultancy and related activities",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,1396108.04,1396108.04,EUR,17/08/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,11/10/2016
Lithuania,Lithuania,"2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 1 prioriteto „Mokslinių tyrimų, eksperimentinės plėtros ir inovacijų skatinimas“ priemonės Nr. 01.2.1-LVPA-K-823 „SmartInvest LT+“","Measure No 01.2.1-LVPA-K-823 ‘SmartInvest LT +’ of Priority 1 ‘Promoting research, experimental development and innovation’ of the 2014-2020 Operational Programme for investments from the European Union funds",SA.45356,TM-10000243,303888559,UAB GRUPPO FOS LITHUANIA,LITHUANIA UAB GRUPPO FOS,Small and medium-sized entreprises,Lithuania,Research and experimental development on biotechnology,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,503269.68,503269.68,EUR,17/08/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,11/10/2016
Lithuania,Lithuania,2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 3 prioriteto „Smulkiojo ir vidutinio verslo konkurencingumo skatinimas“ priemonė Nr. 03.3.1-LVPA-K-841 „DPT pramonei LT+“,Measure No 03.3.1-LVPA-K-841 ‘DPT +’ of Priority 3 ‘Promoting the competitiveness of small and medium-sized enterprises’ of the 2014-2020 Operational Programme for investments from the European Union funds,SA.45108,TM-10000487,124940740,"UAB ""Polivektris""",UAB Polivektris”,Small and medium-sized entreprises,Lithuania,Manufacture of plastics in primary forms,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,899500,899500,EUR,16/11/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,24/11/2016
Lithuania,Lithuania,2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 3 prioriteto „Smulkiojo ir vidutinio verslo konkurencingumo skatinimas“ priemonė Nr. 03.3.1-LVPA-K-841 „DPT pramonei LT+“,Measure No 03.3.1-LVPA-K-841 ‘DPT +’ of Priority 3 ‘Promoting the competitiveness of small and medium-sized enterprises’ of the 2014-2020 Operational Programme for investments from the European Union funds,SA.45108,TM-10000486,235886490,UAB „Novameta“,UAB Novameta”,Small and medium-sized entreprises,Lithuania,Manufacture of kitchen furniture,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,645347,645347,EUR,16/11/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,24/11/2016
Lithuania,Lithuania,2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 3 prioriteto „Smulkiojo ir vidutinio verslo konkurencingumo skatinimas“ priemonė Nr. 03.3.1-LVPA-K-841 „DPT pramonei LT+“,Measure No 03.3.1-LVPA-K-841 ‘DPT +’ of Priority 3 ‘Promoting the competitiveness of small and medium-sized enterprises’ of the 2014-2020 Operational Programme for investments from the European Union funds,SA.45108,TM-10000488,147738655,AB „Lietkabelis“,AB “Lietkabelis”,Small and medium-sized entreprises,Lithuania,Manufacture of other electronic and electric wires and cables,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,1333395,1333395,EUR,16/11/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,24/11/2016
Lithuania,Lithuania,2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 3 prioriteto „Smulkiojo ir vidutinio verslo konkurencingumo skatinimas“ priemonė Nr. 03.3.2-LVPA-K-837 „Eco-inovacijos LT+“,Measure No 03.3.2-LVPA-K-837 ‘Eco-Innovation LT +’ of Priority 3 ‘Promoting the competitiveness of small and medium-sized enterprises’ of the 2014-2020 Operational Programme for investments from the European Union funds,SA.45235,TM-10000361,110564826,"IOCO Packaging, UAB",UAB IOCO Packaging,Small and medium-sized entreprises,Lithuania,Manufacture of plastic packing goods,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,892500,892500,EUR,27/10/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,02/11/2016
Lithuania,Lithuania,2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 3 prioriteto „Smulkiojo ir vidutinio verslo konkurencingumo skatinimas“ priemonė Nr. 03.3.2-LVPA-K-837 „Eco-inovacijos LT+“,Measure No 03.3.2-LVPA-K-837 ‘Eco-Innovation LT +’ of Priority 3 ‘Promoting the competitiveness of small and medium-sized enterprises’ of the 2014-2020 Operational Programme for investments from the European Union funds,SA.45235,TM-10000364,167900844,Akcinė bendrovė „Dolomitas“,Akcinė bendrovė “dolomite”,Small and medium-sized entreprises,Lithuania,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,900000,900000,EUR,27/10/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,02/11/2016
Lithuania,Lithuania,2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 3 prioriteto „Smulkiojo ir vidutinio verslo konkurencingumo skatinimas“ priemonė Nr. 03.3.2-LVPA-K-837 „Eco-inovacijos LT+“,Measure No 03.3.2-LVPA-K-837 ‘Eco-Innovation LT +’ of Priority 3 ‘Promoting the competitiveness of small and medium-sized enterprises’ of the 2014-2020 Operational Programme for investments from the European Union funds,SA.45235,TM-10000362,122763729,Uždaroji akcinė bendrovė „CARIS“,Uždaroji akcinė bendrovė “CARIS”,Small and medium-sized entreprises,Lithuania,Other printing,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,799913.8,799913.8,EUR,27/10/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,02/11/2016
Lithuania,Lithuania,2014–2020 metų Europos Sąjungos fondų investicijų veiksmų programos 3 prioriteto „Smulkiojo ir vidutinio verslo konkurencingumo skatinimas“ priemonė Nr. 03.3.2-LVPA-K-837 „Eco-inovacijos LT+“,Measure No 03.3.2-LVPA-K-837 ‘Eco-Innovation LT +’ of Priority 3 ‘Promoting the competitiveness of small and medium-sized enterprises’ of the 2014-2020 Operational Programme for investments from the European Union funds,SA.45235,TM-10000363,145196056,Uždaroji akcinė bendrovė „PUTOKŠNIS“,Uždaroji akcinė bendrovė “PUTOKŠNIS”,Small and medium-sized entreprises,Lithuania,Manufacture of plastic packing goods,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,845000,845000,EUR,27/10/2016,Lietuvos Respublikos ūkio ministerija,The Ministry of the Economy of the Republic of Lithuania,02/11/2016
