Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096120,C65986,Marsa Rebar Ltd,,Small and medium-sized entreprises,Malta,Manufacture of metal structures and parts of structures,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,370000,EUR,31/12/2017,Malta Enterprise,,02/04/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096123,C32508,Sterling Chemical Malta Ltd.,,Small and medium-sized entreprises,Malta,Manufacture of basic pharmaceutical products,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,1227500,EUR,31/12/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096124,C64420,La Toc Hotels Ltd.,,Small and medium-sized entreprises,Malta,Hotels and similar accommodation,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,728957,EUR,31/12/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096126,C68049,De La Sengle Investment Limited,,Small and medium-sized entreprises,Malta,Hotels and similar accommodation,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,729686,EUR,31/12/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096127,C28154,MMH Malta Ltd.,,Small and medium-sized entreprises,Malta,Engineering activities and related technical consultancy,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,6500000,EUR,31/12/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096188,C43079,APL Swift Services Ltd.,,Small and medium-sized entreprises,Malta,Technical testing and analysis,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,1370497,EUR,31/12/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096194,C26451,Bay Street Holiday Complex Ltd.,,Small and medium-sized entreprises,Malta,Hotels and similar accommodation,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,1322315,EUR,31/12/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096197,C17222,Float Glass Ltd.,,Small and medium-sized entreprises,Malta,"Manufacture and processing of other glass, including technical glassware",Direct grant,,Regional aid - investment aid (Art. 14) - Scheme,,,117000,EUR,29/05/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096199,C17222,Float Glass Ltd.,,Small and medium-sized entreprises,Malta,"Manufacture and processing of other glass, including technical glassware",Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,1261728,EUR,31/12/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096201,C3052,Mellieha Holiday Centre Ltd.,,Small and medium-sized entreprises,Malta,Hotels and similar accommodation,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,519167,EUR,31/12/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096222,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,1780189,EUR,14/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096225,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,2154211,EUR,14/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096228,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,1115550,EUR,14/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096230,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,912249,EUR,14/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096232,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,2584271,EUR,14/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096234,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,2420066,EUR,14/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096237,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,828843,EUR,14/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096239,C3261,MCL Components Ltd.,,Small and medium-sized entreprises,Malta,Manufacture of other plastic products,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,1031189,EUR,15/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096249,C406,Andrews Feeds (Malta) Ltd.,,Small and medium-sized entreprises,Malta,Manufacture of prepared feeds for farm animals,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,923493,EUR,07/11/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096252,C7033,St Rita Farm Co Ltd.,,Small and medium-sized entreprises,Malta,Raising of swine/pigs,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,946470,EUR,02/02/2017,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096254,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,960427,EUR,23/02/2017,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096259,C45976,Gozo Concrete Products Ltd.,,Small and medium-sized entreprises,Malta,Manufacture of concrete products for construction purposes,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,913469,EUR,12/05/2017,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096244,C12663,Malta International Airport plc,,Only large enterprises,Malta,Service activities incidental to air transportation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,1227149,EUR,26/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096247,C72657,G-PV Ltd.,,Small and medium-sized entreprises,Malta,Production of electricity,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,3913018,EUR,05/10/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096257,C69505,Solar Power Ltd.,,Small and medium-sized entreprises,Malta,Electrical installation,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,1208951,EUR,13/03/2017,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096118,C65986,Marsa Rebar Ltd,,Small and medium-sized entreprises,Malta,Manufacture of metal structures and parts of structures,Direct grant,,Regional aid - investment aid (Art. 14) - Scheme,,,480000,EUR,01/03/2017,Malta Enterprise,,02/04/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096211,C14107,Salini Resort Ltd.,,Small and medium-sized entreprises,Malta,Hotels and similar accommodation,Tax advantage or tax exemption,,Regional aid - investment aid (Art. 14) - Scheme,,,2082938,EUR,31/12/2019,Malta Enterprise,,29/03/2018
Malta,Malta,Investment Aid Tax Credits 2014 - 2020,Investment Aid Tax Credits 2014 - 2020,SA.39234,TM-10096215,C28154,MMH Malta Ltd.,,Small and medium-sized entreprises,Malta,Engineering activities and related technical consultancy,Direct grant,,Regional aid - investment aid (Art. 14) - Scheme,,,2500000,EUR,07/02/2017,Malta Enterprise,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096241,C21050,Hal Mann International Ltd.,,Small and medium-sized entreprises,Malta,"Cutting, shaping and finishing of stone",Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,2005905,EUR,19/09/2016,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10096263,C61110,Halmann Solar Ltd.,,Small and medium-sized entreprises,Malta,"Plumbing, heat and air-conditioning installation",Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,1698318,EUR,23/06/2017,Regulator for Energy and Water Services,,29/03/2018
Malta,Malta,"Loan interest subsidy (Regulation 9 of the Business Promotion Act, BPA)","Loan interest subsidy (Regulation 9 of the Business Promotion Act, BPA)",SA.13736,TM-10098934,C78450,Crane Currency Malta Limited,,Only large enterprises,Malta,Other publishing activities,Interest subsidy,,Regional development,,,8414161,EUR,09/11/2016,Malta Enterprise,,25/05/2018
Malta,Malta,"Loan guarantees (Regulation 10 of the Business Promotion Act, BPA)","Loan guarantees (Regulation 10 of the Business Promotion Act, BPA)",SA.13737,TM-10098936,C78450,Crane Currency Malta Limited,,Only large enterprises,Malta,Other publishing activities,Guarantee,,Regional development,,,1758660,EUR,14/02/2017,Malta Enterprise,Malta Enterprise,25/05/2018
Malta,Malta,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,Feed-in Tariff for Photovoltaic Systems smaller than 1MWp,SA.42970,TM-10098943,C45421,Interfinance Ltd,,Small and medium-sized entreprises,Malta,Financial leasing,Other (Premium),,Operating aid for the promotion of electricity from renewable sources (Art. 42),,,926594,EUR,07/07/2017,Regulator for Energy and Water Services,,25/05/2018
Malta,Malta,"Financial Incentives for the Audiovisual Industry Regulations, 2014","Financial Incentives for the Audiovisual Industry Regulations, 2014",SA.39706,TM-10099021,06577466,Fox UK Productions Ltd,,Only large enterprises,Malta,"Motion picture, video and television programme activities",Direct grant,,Aid schemes for audio-visual works (Art. 54),,,610705,EUR,16/04/2018,Malta Film Commission,,29/05/2018
