Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Portugal,Portugal,Investigação e Desenvolvimento Tecnológico,Research and Technological Development,SA.41942,TM-10033107,503842060,EGITRON - ENGENHARIA E AUTOMAÇÃO INDUSTRIAL LDA,EGITRON — ENGINEERING AND INDUSTRIAL AUTOMATION LDA,Small and medium-sized entreprises,Área Metropolitana do Porto,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,,58143.56,EUR,02/11/2016,Norte 2020,North 2020,28/04/2017
Portugal,Portugal,Investigação e Desenvolvimento Tecnológico,Research and Technological Development,SA.41942,TM-10033108,503842060,EGITRON - ENGENHARIA E AUTOMAÇÃO INDUSTRIAL LDA,EGITRON — ENGINEERING AND INDUSTRIAL AUTOMATION LDA,Small and medium-sized entreprises,Área Metropolitana do Porto,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,139176.71,EUR,02/11/2016,Norte 2020,North 2020,28/04/2017
Portugal,Portugal,Investigação e Desenvolvimento Tecnológico,Research and Technological Development,SA.41942,TM-10033109,503842060,EGITRON - ENGENHARIA E AUTOMAÇÃO INDUSTRIAL LDA,EGITRON — ENGINEERING AND INDUSTRIAL AUTOMATION LDA,Small and medium-sized entreprises,Área Metropolitana do Porto,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Aid to SMEs for participation in fairs (Art. 19),,,2795.01,EUR,02/11/2016,Norte 2020,North 2020,28/04/2017
Portugal,Portugal,Investigação e Desenvolvimento Tecnológico,Research and Technological Development,SA.41942,TM-10033110,503383058,"CORK SUPPLY PORTUGAL, S.A.","CORK SUPPLY PORTUGAL, S.A.",Only large enterprises,Área Metropolitana do Porto,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,,14636.99,EUR,02/11/2016,Norte 2020,North 2020,28/04/2017
Portugal,Portugal,Investigação e Desenvolvimento Tecnológico,Research and Technological Development,SA.41942,TM-10033111,503383058,"CORK SUPPLY PORTUGAL, S.A.","CORK SUPPLY PORTUGAL, S.A.",Only large enterprises,Área Metropolitana do Porto,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,35486.75,EUR,02/11/2016,Norte 2020,North 2020,28/04/2017
Portugal,Portugal,Investigação e Desenvolvimento Tecnológico,Research and Technological Development,SA.41942,TM-10033112,500246149,"AZEVEDOS - INDUSTRIA, MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS S.A.","AZEVEDOS — INDUSTRIA, MACHINERY AND INDUSTRIAL EQUIPMENT S.A.",Small and medium-sized entreprises,Área Metropolitana do Porto,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,,65109.37,EUR,02/11/2016,Norte 2020,North 2020,28/04/2017
Portugal,Portugal,Investigação e Desenvolvimento Tecnológico,Research and Technological Development,SA.41942,TM-10033113,500246149,"AZEVEDOS - INDUSTRIA, MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS S.A.","AZEVEDOS — INDUSTRIA, MACHINERY AND INDUSTRIAL EQUIPMENT S.A.",Small and medium-sized entreprises,Área Metropolitana do Porto,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,94798.74,EUR,02/11/2016,Norte 2020,North 2020,28/04/2017
Portugal,Portugal,Investigação e Desenvolvimento Tecnológico,Research and Technological Development,SA.41942,TM-10033114,500246149,"AZEVEDOS - INDUSTRIA, MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS S.A.","AZEVEDOS — INDUSTRIA, MACHINERY AND INDUSTRIAL EQUIPMENT S.A.",Small and medium-sized entreprises,Área Metropolitana do Porto,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Aid to SMEs for participation in fairs (Art. 19),,,1397.51,EUR,02/11/2016,Norte 2020,North 2020,28/04/2017
Portugal,Portugal,Entrepreneurial innovation aid scheme,﻿Entrepreneurial aid scheme scheme,SA.42136,TM-10033164,506259501,VERAMOLDE - INDÚSTRIA DE MOLDES LDA,VERAMOLDE — MANUFACTURE OF MOULDS LDA,Small and medium-sized entreprises,Região de Leiria,Manufacture of tools,Loan/ Repayable advances,,Innovation aid for SMEs (Art. 28),,8120,4192.84,EUR,19/10/2016,Centro 2020,Centre 2020,28/04/2017
Portugal,Portugal,Entrepreneurial innovation aid scheme,﻿Entrepreneurial aid scheme scheme,SA.42136,TM-10033167,505070022,"VECOURBANDESIGN, UNIPESSOAL LDA","VECOURBANDESIGN SINGLE-MEMBER, LDA",Small and medium-sized entreprises,Oeste,Manufacture of other furniture,Loan/ Repayable advances,,Regional aid - investment aid (Art. 14) - Scheme,,869712.77,451178.22,EUR,19/10/2016,Centro 2020,Centre 2020,28/04/2017
Portugal,Portugal,Entrepreneurial innovation aid scheme,﻿Entrepreneurial aid scheme scheme,SA.42136,TM-10033168,505070022,"VECOURBANDESIGN, UNIPESSOAL LDA","VECOURBANDESIGN SINGLE-MEMBER, LDA",Small and medium-sized entreprises,Oeste,Manufacture of other furniture,Direct grant/ Interest rate subsidy,,Training aid (Art. 31),,,32144.19,EUR,19/10/2016,Centro 2020,Centre 2020,28/04/2017
Portugal,Portugal,Entrepreneurial innovation aid scheme,﻿Entrepreneurial aid scheme scheme,SA.42136,TM-10033169,505062623,VALENTE & RIBEIRO LDA,VALENTE & RIBEIRO LDA,Small and medium-sized entreprises,Médio Tejo,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Loan/ Repayable advances,,Innovation aid for SMEs (Art. 28),,6000,3112.6,EUR,08/11/2016,Centro 2020,Centre 2020,28/04/2017
Portugal,Portugal,Entrepreneurial innovation aid scheme,﻿Entrepreneurial aid scheme scheme,SA.42136,TM-10033170,505062623,VALENTE & RIBEIRO LDA,VALENTE & RIBEIRO LDA,Small and medium-sized entreprises,Médio Tejo,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Loan/ Repayable advances,,Regional aid - investment aid (Art. 14) - Scheme,,783258,406328.34,EUR,08/11/2016,Centro 2020,Centre 2020,28/04/2017
Portugal,Portugal,Entrepreneurial innovation aid scheme,﻿Entrepreneurial aid scheme scheme,SA.42136,TM-10033171,502043059,"VALBOPAN-FIBRAS DE MADEIRA, S.A.","VALBOPAN-FIBRAS, S.A.",Small and medium-sized entreprises,Oeste,Manufacture of veneer sheets and wood-based panels,Loan/ Repayable advances,,Innovation aid for SMEs (Art. 28),,750,389.08,EUR,14/09/2016,Centro 2020,Centre 2020,28/04/2017
Portugal,Portugal,Entrepreneurial innovation aid scheme,﻿Entrepreneurial aid scheme scheme,SA.42136,TM-10033172,502043059,"VALBOPAN-FIBRAS DE MADEIRA, S.A.","VALBOPAN-FIBRAS, S.A.",Small and medium-sized entreprises,Oeste,Manufacture of veneer sheets and wood-based panels,Loan/ Repayable advances,,Regional aid - investment aid (Art. 14) - Scheme,,672500,348870.76,EUR,14/09/2016,Centro 2020,Centre 2020,28/04/2017
Portugal,Portugal,Entrepreneurial innovation aid scheme,﻿Entrepreneurial aid scheme scheme,SA.42136,TM-10033173,500802602,VALART-METALURGICA CENTRAL DO VOUGA LDA,CENTRAL VALART-METALURGICA VOUGA LDA,Small and medium-sized entreprises,Região de Aveiro,Manufacture of lifting and handling equipment,Loan/ Repayable advances,,Innovation aid for SMEs (Art. 28),,12765,6591.33,EUR,08/11/2016,Centro 2020,Centre 2020,28/04/2017
