Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Slovenia,Slovenia,Regional State aid scheme,Regional State aid scheme,SA.40765,TM-10001658,5926475000,Elrad International d.o.o. Ljutomer,"Elrad International d.o.o., Ljutomer",Only large enterprises,Pomurska,Manufacture of consumer electronics,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,572611,572611,EUR,04/07/2016,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,22/12/2016
Slovenia,Slovenia,»Posebni pogoji financiranja tehnološko-razvojnih projektov« - regionalna pomoč,‘Specific terms and conditions of financing technological development projects” — Regional aid,SA.44408,TM-10017866,5042437000,UNIOR Kovaška industrija d.d.,Unior sledge industrija d.d.,Only large enterprises,Savinjska,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Loan/ Repayable advances,,Regional aid - investment aid (Art. 14) - Scheme,,2950000,590816,EUR,06/12/2016,Slovenska izvozna in razvojna banka,The Slovenian Export and Development Bank,26/04/2017
Slovenia,Slovenia,Regional State aid scheme,Regional State aid scheme,SA.40765,TM-10080548,6864279000,smartMELAMINE d.o.o.,smartMELAMINE d.o.o.,Small and medium-sized entreprises,Jugovzhodna Slovenija,"Manufacture of non-wovens and articles made from non-wovens, except apparel",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,1500000,EUR,25/11/2016,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,20/09/2017
Slovenia,Slovenia,Regional State aid scheme,Regional State aid scheme,SA.40765,TM-10089232,5072182000,SEGRAP proizvodnja in gradbeništvo d.o.o.,SEGRAP d.o.o. manufacturing and construction,Small and medium-sized entreprises,Pomurska,Operation of gravel and sand pits; mining of clays and kaolin,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,737161,EUR,05/07/2016,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,14/12/2017
Slovenia,Slovenia,Regional State aid scheme,Regional State aid scheme,SA.40765,TM-10090446,5185726000,ISKRA elektro in elektr. industrija d.o.o.,Iskra electrical and elektr. industry d.o.o.,Only large enterprises,Osrednjeslovenska,Manufacture of electricity distribution and control apparatus,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,530413,EUR,10/10/2017,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,09/01/2018
Slovenia,Slovenia,Finančne spodbude za tuje neposredne investicije – regionalna pomoč,Financial incentives for foreign direct investment — Regional aid,SA.44246,TM-10090975,1732811000,Lek farmacevtska družba d.d.,Lek pharmaceutical company d.d.,Only large enterprises,Osrednjeslovenska,Manufacture of pharmaceutical preparations,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,1500000,EUR,30/11/2017,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,26/01/2018
Slovenia,Slovenia,Regional State aid scheme,Regional State aid scheme,SA.40765,TM-10090977,2010810000,odelo Slovenija podjetje za ravoj proiz. in trženje avtom. delov d.o.o.,Slovenia odelo ravoj proiz. and marketing company avtom. parts d.o.o.,Only large enterprises,Savinjska,Manufacture of other parts and accessories for motor vehicles,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,750000,EUR,24/10/2017,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,26/01/2018
Slovenia,Slovenia,Finančne spodbude za tuje neposredne investicije – regionalna pomoč,Financial incentives for foreign direct investment — Regional aid,SA.44246,TM-10090979,5691087000,GKN DRIVELINE Slovenija proizv. avtom. transmisij in avto delov d.o.o.,GKN DRIVELINE Slovenia proizv. avtom. transmisij and car parts d.o.o.,Only large enterprises,Savinjska,"Manufacture of bearings, gears, gearing and driving elements",Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,560000,EUR,16/03/2017,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,26/01/2018
Slovenia,Slovenia,Finančne spodbude za tuje neposredne investicije – regionalna pomoč,Financial incentives for foreign direct investment — Regional aid,SA.44246,TM-10090980,7206933000,YASKAWA Europe Robotics d.o.o.,Yaskawa Europe Robotics d.o.o.,Only large enterprises,Jugovzhodna Slovenija,Manufacture of other special-purpose machinery n.e.c.,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,5668350,EUR,16/03/2017,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,26/01/2018
Slovenia,Slovenia,Finančne spodbude za tuje neposredne investicije – regionalna pomoč,Financial incentives for foreign direct investment — Regional aid,SA.44246,TM-10090981,7159641000,MAGNA STEYR avtom. dobavitelj d.o.o.,Magna Steyr avtom. supplier d.o.o.,Only large enterprises,Osrednjeslovenska,Manufacture of motor vehicles,Direct grant/ Interest rate subsidy,,Regional aid - investment aid (Art. 14) - Scheme,,,18518082.75,EUR,16/03/2017,Ministrstvo za gospodarski razvoj in tehnologijo,The Ministry of Economic Development and Technology,26/01/2018
