Country,Another Beneficiary Member State,Aid Measure Title,Aid Measure Title [EN],SA.Number,Ref-no.,National ID,Name of the beneficiary,Name of the beneficiary [EN],Beneficiary Type,Region,Sector (NACE),Aid Instrument,Aid Instrument [EN],Objectives of the Aid,Objectives of the Aid [EN],Nominal Amount,"Aid element, expressed as full amount",Currency,Date of granting,Granting Authority Name,Granting Authority Name [EN],Published Date
Sweden,Sweden,State aid for research and development and innovation in the energy field,State aid for research and development and innovation in the energy field,SA.40696,TM-10001641,556084-0976,Scania CV AB,Scania CV AB,Only large enterprises,Östra Mellansverige,Manufacture of motor vehicles,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,8214000,8214000,SEK,25/10/2016,Energimyndigheten,Swedish Energy Agency,26/06/2019
Sweden,Sweden,State aid for research and development and innovation in the energy field,State aid for research and development and innovation in the energy field,SA.40696,TM-10001642,556753-4010,Sustainable Innovation i Sverige AB,Sustainable Innovation in Sweden AB,Small and medium-sized entreprises,Stockholm,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,5035825,5035825,SEK,25/10/2016,Energimyndigheten,Swedish Energy Agency,26/06/2019
Sweden,Sweden,State aid for research and development and innovation in the energy field,State aid for research and development and innovation in the energy field,SA.40696,TM-10001643,556902-4671,Orbital Systems,Orbital Systems,Small and medium-sized entreprises,Sydsverige,Engineering activities and related technical consultancy,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,20649240,20649240,SEK,20/10/2016,Energimyndigheten,Swedish Energy Agency,26/06/2019
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001572,556597-6122,IP-Only Networks AB,IP-Only Networks AB,Only large enterprises,Sydsverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,12272658,12272658,SEK,17/08/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001614,212000-2577,Storumans ommun,Storuman ommun,Only large enterprises,Övre Norrland,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,9969960,9969960,SEK,13/10/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Aid for combatting contagious animal diseases,Aid for combatting animal contagious diseases,SA.40319,TM-10001541,510919-3952,Ingemar Persson,Mr Persson,Small and medium-sized entreprises,Sydsverige,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for combating animal diseases and plant pests (Article 26),,788047,788047,SEK,04/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Aid for combatting contagious animal diseases,Aid for combatting animal contagious diseases,SA.40319,TM-10001548,556123-2678,Aniagra Produktions AB,Aniagra Produktions AB,Small and medium-sized entreprises,Sydsverige,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for combating animal diseases and plant pests (Article 26),,9350000,9350000,SEK,29/11/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001564,769629-8947,Fiberföreningen Björnhult/Hammarsbo ek för,The oak Hammarsbo Fiberföreningen/Björnhult,Small and medium-sized entreprises,Småland med öarna,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,12423134,12423134,SEK,04/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001577,556407-2501,Gävle Energi AB,Gävle Energi AB,Only large enterprises,Norra Mellansverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,5971200,5971200,SEK,19/10/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001584,769626-4337,Kristdalabydens fiber ek för,Oak for fibre Kristdalabydens,Small and medium-sized entreprises,Småland med öarna,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,21538125,21538125,SEK,04/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001590,212000-0787,Vimmerby kommun,The municipality Vimmerby,Only large enterprises,Småland med öarna,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,10749750,10749750,SEK,06/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001603,559050-6613,Byalagsadministration i Sverige AB,Byalagsadministration i Sverige AB,Small and medium-sized entreprises,Östra Mellansverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,18127000,18127000,SEK,08/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001611,556597-6122,IP-Only Networks AB,IP-Only Networks AB,Only large enterprises,Östra Mellansverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,10178563,10178563,SEK,14/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001613,556642-8339,Zitius Service Delivery AB,Zitius Service Delivery AB,Only large enterprises,Västsverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,6980230,6980230,SEK,06/09/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,State aid for research and development and innovation in the energy field,State aid for research and development and innovation in the energy field,SA.40696,TM-10001645,556985-3285,Candela Speedboat AB,Candelas Speedboat AB,Small and medium-sized entreprises,Stockholm,Building of pleasure and sporting boats,Direct grant/ Interest rate subsidy,,Experimental development (Art. 25(2)(c)),,4930200,4930200,SEK,30/08/2016,Energimyndigheten,Swedish Energy Agency,26/06/2019
Sweden,Sweden,Aid for combatting contagious animal diseases,Aid for combatting animal contagious diseases,SA.40319,TM-10001540,690814-2430,Ola Karlsson,Ola Karlsson,Small and medium-sized entreprises,Östra Mellansverige,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for combating animal diseases and plant pests (Article 26),,876568,876568,SEK,09/08/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Aid for combatting contagious animal diseases,Aid for combatting animal contagious diseases,SA.40319,TM-10001545,556620-8640,Håkantorp Ägg AB,Håkantorp eggs AB,Small and medium-sized entreprises,Västsverige,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for combating animal diseases and plant pests (Article 26),,7467085,7467085,SEK,11/10/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Aid for combatting contagious animal diseases,Aid for combatting animal contagious diseases,SA.40319,TM-10001559,800824-3910,Daniel Nilsson,Mr Nilsson,Small and medium-sized entreprises,Sydsverige,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for combating animal diseases and plant pests (Article 26),,1262521,1262521,SEK,23/08/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001570,769630-5577,Flodabygdens fiber ek för,Oak for fibre Flodabygdens,Small and medium-sized entreprises,Östra Mellansverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,20546291,20546291,SEK,14/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001573,556589-3046,Dala Energi Fibernät AB,Dala Energy fibre AB,Small and medium-sized entreprises,Norra Mellansverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,5518455,5518455,SEK,07/10/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001575,556407-2501,Gävle Energi AB,Gävle Energi AB,Only large enterprises,Norra Mellansverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,6050400,6050400,SEK,19/10/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001578,556407-2501,Gävle Energi AB,Gävle Energi AB,Only large enterprises,Norra Mellansverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,5977800,5977800,SEK,19/10/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001581,556045-6567,Västervik miljö och Energi AB,Västervik environment and Energi AB,Only large enterprises,Småland med öarna,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,5704170,5704170,SEK,28/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001586,556045-6567,Västervik miljö och Energi AB,Västervik environment and Energi AB,Only large enterprises,Småland med öarna,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,7692302,7692302,SEK,29/08/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001588,556045-6567,Västervik miljö och Energi AB,Västervik environment and Energi AB,Only large enterprises,Småland med öarna,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,10577925,10577925,SEK,28/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001596,212000-2742,Luleå kommun,The Municipality of Luleå,Only large enterprises,Övre Norrland,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,8251302,8251302,SEK,12/08/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Broadband roll-out for rural areas-Sweden ,﻿Broadband rot-out for rural areas Sweden,SA.42488,TM-10001608,556597-6122,IP-Only Networks AB,IP-Only Networks AB,Only large enterprises,Östra Mellansverige,Construction of other civil engineering projects,Direct grant/ Interest rate subsidy,,Aid for broadband infrastructure (Art. 52),,18419595,18419595,SEK,14/07/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,State aid for research and development and innovation in the energy field,State aid for research and development and innovation in the energy field,SA.40696,TM-10001519,556603-1109,Innventia AB,Innventia AB,Small and medium-sized entreprises,Stockholm,Other research and experimental development on natural sciences and engineering,Direct grant/ Interest rate subsidy,,Industrial research (Art. 25(2)(b)),,,11050000,SEK,22/09/2016,Energimyndigheten,Swedish Energy Agency,26/06/2019
Sweden,Sweden,Aid for combatting contagious animal diseases,Aid for combatting animal contagious diseases,SA.40319,TM-10001543,556428-9857,Stämme Lantbruks AB,Stämme lantbruks AB,Small and medium-sized entreprises,Västsverige,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for combating animal diseases and plant pests (Article 26),,978834,978834,SEK,09/08/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
Sweden,Sweden,Aid for combatting contagious animal diseases,Aid for combatting animal contagious diseases,SA.40319,TM-10001544,556267-1932,Komstagården,Komstagården,Small and medium-sized entreprises,Sydsverige,"AGRICULTURE, FORESTRY AND FISHING",Direct grant/ Interest rate subsidy,,Aid for combating animal diseases and plant pests (Article 26),,1014654,1014654,SEK,10/08/2016,Jordbruksverket,Swedish Board of Agriculture,09/01/2017
